rectangular_pulse_duty,ua_flow_exponent,parallel_banks,per_bank_mass_flow_ratio,estimated_ua_w_k,estimated_tube_pressure_drop_pa,additional_pressure_drop_pa,estimated_tube_and_additional_pressure_drop_pa,sum_bank_envelope_m3,sum_bank_mass_kg,status
1.0,0.0,1,1.0,5.3,9500.0,0.0,9500.0,0.00019950000000000002,0.3,unvalidated_steady_scaling
1.0,0.5,1,1.0,5.3,9500.0,0.0,9500.0,0.00019950000000000002,0.3,unvalidated_steady_scaling
0.5,0.0,1,2.0,5.3,19000.0,0.0,19000.0,0.00019950000000000002,0.3,unvalidated_steady_scaling
0.5,0.5,1,2.0,7.495331880577404,19000.0,0.0,19000.0,0.00019950000000000002,0.3,unvalidated_steady_scaling
0.25,0.0,1,4.0,5.3,38000.0,0.0,38000.0,0.00019950000000000002,0.3,unvalidated_steady_scaling
0.25,0.5,1,4.0,10.6,38000.0,0.0,38000.0,0.00019950000000000002,0.3,unvalidated_steady_scaling
1.0,0.0,4,1.0,21.2,9500.0,0.0,9500.0,0.0007980000000000001,1.2,unvalidated_steady_scaling
1.0,0.5,4,1.0,21.2,9500.0,0.0,9500.0,0.0007980000000000001,1.2,unvalidated_steady_scaling
0.5,0.0,4,2.0,21.2,19000.0,0.0,19000.0,0.0007980000000000001,1.2,unvalidated_steady_scaling
0.5,0.5,4,2.0,29.981327522309616,19000.0,0.0,19000.0,0.0007980000000000001,1.2,unvalidated_steady_scaling
0.25,0.0,4,4.0,21.2,38000.0,0.0,38000.0,0.0007980000000000001,1.2,unvalidated_steady_scaling
0.25,0.5,4,4.0,42.4,38000.0,0.0,38000.0,0.0007980000000000001,1.2,unvalidated_steady_scaling
1.0,0.0,16,1.0,84.8,9500.0,0.0,9500.0,0.0031920000000000004,4.8,unvalidated_steady_scaling
1.0,0.5,16,1.0,84.8,9500.0,0.0,9500.0,0.0031920000000000004,4.8,unvalidated_steady_scaling
0.5,0.0,16,2.0,84.8,19000.0,0.0,19000.0,0.0031920000000000004,4.8,unvalidated_steady_scaling
0.5,0.5,16,2.0,119.92531008923847,19000.0,0.0,19000.0,0.0031920000000000004,4.8,unvalidated_steady_scaling
0.25,0.0,16,4.0,84.8,38000.0,0.0,38000.0,0.0031920000000000004,4.8,unvalidated_steady_scaling
0.25,0.5,16,4.0,169.6,38000.0,0.0,38000.0,0.0031920000000000004,4.8,unvalidated_steady_scaling
