theta_deg,E_x,E_y,E_projected_velocity,E_projected_velocity_scaled_to_target,E_piecewise_model_scaled_to_target,target_velocity,target_piecewise_model,regime_core
0.0,2.094790215449099,-1.0568568629503923,-0.4627110737344454,-0.23838190060447126,-0.25223454178530863,-0.05214303478674571,-0.09916945338935412,1
0.25,2.0909615028788138,-1.0597548070115188,-0.4821250984234148,-0.24756284041203164,-0.2640315572693907,-0.0642075342212776,-0.11431917753794507,1
0.5,2.0870141126189345,-1.0626939513684737,-0.5019374325364898,-0.2569321417214488,-0.2758285727534728,-0.07665460334634135,-0.12946890168653602,1
0.7500000000000001,2.0829464522148458,-1.065673426416544,-0.5221517793154189,-0.26649155580481226,-0.2876255882375549,-0.08948502324004116,-0.14461862583512697,1
1.0,2.078756941047774,-1.0686922952765778,-0.5427714446105484,-0.2762426460068447,-0.29942260372163687,-0.10269887454475113,-0.15976834998371792,1
1.25,2.074444013107868,-1.071749551989112,-0.5637993054944421,-0.2861867729022057,-0.31121961920571894,-0.11629555293048703,-0.17491807413230875,1
1.5000000000000002,2.070006119911189,-1.0748441197564593,-0.5852377781054054,-0.2963250790886153,-0.323016634689801,-0.130273784558278,-0.1900677982808997,1
1.75,2.0654417335618307,-1.077974849242013,-0.6070887848027845,-0.3066584736545148,-0.33481365017388315,-0.14463164154353855,-0.20521752242949065,1
2.0,2.0607493499597993,-1.0811405169365251,-0.6293537207268601,-0.31718761636515896,-0.3466106656579652,-0.1593665574194404,-0.2203672465780816,1
2.25,2.0559274921547175,-1.0843398236016348,-0.6520334198674289,-0.3279129016163644,-0.3584076811420472,-0.17447534260028408,-0.23551697072667255,1
2.5,2.050974713844704,-1.0875713928013848,-0.6751281207567152,-0.338834442210604,-0.3702046966261293,-0.18995419984487094,-0.2506666948752635,1
2.75,2.045889603019096,-1.090833769532948,-0.6986374319140067,-0.3499520530156905,-0.3820017121102114,-0.20579873971987495,-0.26581641902385444,1
3.0000000000000004,2.040670785742882,-1.0941254189682095,-0.7225602971812379,-0.36126523457188875,-0.39379872759429346,-0.22200399606321436,-0.2809661431724454,1
