motor_time_fraction,motor_angle_deg,source16_aligned_small,source16_aligned_large,beta_cdf_small,beta_cdf_large,source16_aligned_dsmall_dt,source16_aligned_dlarge_dt,beta_cdf_dsmall_dt,beta_cdf_dlarge_dt
0.000000000000000000e+00,0.000000000000000000e+00,1.444918440414582339e-01,9.999997061094492157e-01,1.868013667531629174e-01,1.000000000000000000e+00,2.040037211688822349e+00,-1.035663951228611192e-02,1.798015174990498899e+00,-0.000000000000000000e+00
3.472222222222222355e-04,1.250000000000000000e-01,1.452005444496017317e-01,9.999851513044708540e-01,1.874260414932035490e-01,9.999991120584275084e-01,2.042072389280946254e+00,-7.337601858436348934e-02,1.800110515811737866e+00,-5.130851068711450233e-03
6.944444444444444709e-04,2.500000000000000000e-01,1.459099465687808961e-01,9.999488220816675765e-01,1.880514429364781304e-01,9.999964329088124604e-01,2.044079067255707649e+00,-1.357772861846056056e-01,1.802200985605966421e+00,-1.030405783783957911e-02
1.041666666666666652e-03,3.750000000000000000e-01,1.466200405032957454e-01,9.998909330630779690e-01,1.886775693916443453e-01,9.999919550548488356e-01,2.046057245613107867e+00,-1.975604423130612464e-01,1.804286584293503637e+00,-1.548976689839158365e-02
1.388888888888888942e-03,5.000000000000000000e-01,1.473308163574455765e-01,9.998116988707406172e-01,1.893044191673317056e-01,9.999856754315317175e-01,2.048006924353146463e+00,-2.587254869697049875e-01,1.806367311795010311e+00,-2.068157017701129086e-02
1.736111111111111232e-03,6.250000000000000000e-01,1.480422642355299356e-01,9.997113341266952169e-01,1.899319905721426616e-01,9.999775925059791737e-01,2.049928103475822994e+00,-3.192724201545384388e-01,1.808443168031488968e+00,-2.587641236935733433e-02
2.083333333333333304e-03,7.500000000000000000e-01,1.487543742418480086e-01,9.995900534529797987e-01,1.905602819146518523e-01,9.999677055601124964e-01,2.051820782981136126e+00,-3.792012418675350105e-01,1.810514152924282083e+00,-3.107248851687026761e-02
2.430555555555555594e-03,8.750000000000000000e-01,1.494671364806999247e-01,9.994480714716333924e-01,1.911892915034070217e-01,9.999560143858017280e-01,2.053684962869088970e+00,-4.385119521087454397e-01,1.812580266395069417e+00,-3.626860289618257654e-02
2.777777777777777884e-03,1.000000000000000000e+00,1.501805410563846477e-01,9.992856028046951389e-01,1.918190176469284636e-01,9.999425191252865330e-01,2.055520643139678860e+00,-4.972045508781202661e-01,1.814641508365864908e+00,-4.146390370292715039e-02
3.125000000000000173e-03,1.125000000000000000e+00,1.508945780732022235e-01,9.991028620742030686e-01,1.924494586537098539e-01,9.999272201767992474e-01,2.057327823792907573e+00,-5.552790381757082283e-01,1.816697878759019780e+00,-4.665775269670614095e-02
