kind,side,factor,status,cycles_completed,efficiency_percent,power_W,heat_input_W,heat_out_W,delta_efficiency_percentage_point_vs_baseline,delta_power_W_vs_baseline
baseline,both,1.0,converged,1,22.028761075012333,51.57565937673742,234.12873379992635,-182.55611856256778,0.0,0.0
thermal,H_i,0.5,converged,23,20.869513310552733,41.83537595593849,200.4616750443543,-158.56098324263792,-1.1592477644595978,-9.740283420798932
thermal,H_i,2.0,converged,33,22.506300433020378,57.630733732323264,256.06489126826756,-198.40018538682773,0.47753935800804725,6.055074355585845
thermal,H_i,4.0,converged,32,22.735832881878245,61.10345520353497,268.7539775692049,-207.62707067325854,0.7070718068659138,9.52779582679755
thermal,H_i,8.0,converged,26,22.860442816355736,62.95709046596167,275.39751076439507,-212.6408643170314,0.8316817413434041,11.38143108922425
thermal,H_o,0.5,converged,42,19.15897938543197,36.93971975790015,192.8063025423381,-155.84149250375526,-2.869781689580364,-14.63593961883727
thermal,H_o,2.0,converged,32,23.162089151133504,60.98330829378126,263.28932548296,-202.42566471978063,1.1333280761211735,9.407648917043844
thermal,H_o,4.0,converged,42,23.697641839282596,66.56708186287645,280.9017129819684,-214.3691134204575,1.668880764270264,14.99142248613903
thermal,H_o,8.0,converged,29,23.968614469478606,69.63795292942389,290.5380827001918,-220.82037390997456,1.9398533944662733,18.06229355268647
thermal,both,0.5,converged,23,17.831962626260612,30.199167657912895,169.3541439652832,-139.15340823043067,-4.1967984487517205,-21.376491718824525
thermal,both,2.0,converged,22,23.5578528521955,68.6411709708583,291.372780879142,-222.73021381251485,1.529091777183167,17.065511594120878
thermal,both,4.0,converged,22,24.226482793434105,80.38431387480347,331.80348365132613,-251.42174497203686,2.197721718421772,28.808654498066048
thermal,both,8.0,converged,16,24.50875137664928,87.31825805151334,356.2737926123231,-268.87618670153864,2.4799903016369473,35.74259867477592
hydraulic,H_i,0.5,converged,13,21.40671670222247,50.67942044411428,236.74541569867498,-185.98817174189932,-0.6220443727898595,-0.8962389326231417
hydraulic,H_i,2.0,converged,13,22.229032351314455,51.16609436660774,230.1768856060087,-179.0333058874846,0.20027127630212194,-0.4095650101296826
hydraulic,H_i,4.0,converged,13,22.262753696821015,50.41878573573907,226.4714707908688,-176.0783993157329,0.23399262180868463,-1.1568736409983487
hydraulic,H_i,8.0,converged,13,22.264511362357435,49.911702379441536,224.17605114759962,-174.28974444233316,0.2357502873451045,-1.6639569972958839
hydraulic,H_o,0.5,converged,15,20.680281061548815,47.130106325200494,227.89877074171045,-180.66536293045377,-1.3484800134635182,-4.445553051536926
hydraulic,H_o,2.0,converged,13,22.608155354045273,53.97403122800796,238.73699725948848,-184.8205346197887,0.5793942790329409,2.3983718512705394
hydraulic,H_o,4.0,converged,13,22.79762300228535,55.065947579775674,241.5424957867563,-186.55646229714924,0.7688619272730179,3.4902882030382543
hydraulic,H_o,8.0,converged,13,22.86202197563904,55.59909726764395,243.19413797645888,-187.68403780564643,0.8332609006267061,4.0234378909065285
hydraulic,both,0.5,converged,13,20.19058666933643,46.671491214782975,231.1547057999224,-184.51954186760247,-1.838174405675902,-4.904168161954445
hydraulic,both,2.0,converged,13,22.921275935939654,54.018645267152515,235.67032401740522,-181.64101853901846,0.8925148609273237,2.4429858904150947
hydraulic,both,4.0,converged,13,23.363467324156677,55.24118175021133,236.44256643830715,-181.18542987762248,1.3347062491443435,3.6655223734739124
hydraulic,both,8.0,converged,13,23.583487885094705,55.85268987790969,236.82964178173935,-180.95893509970855,1.5547268100823741,4.27703050117227
