motor_time_fraction,motor_angle_deg,small_fraction_0_1,large_fraction_0_1,dsmall_dt,dlarge_dt
0.000000000000000000e+00,0.000000000000000000e+00,1.221711203929746609e-01,8.961951547257472894e-01,1.369352195179335041e+00,3.432026228344360774e+00
6.944444444444444709e-04,2.500000000000000000e-01,1.231221638040824601e-01,8.985676812217043841e-01,1.369657126448103002e+00,3.400783214472402616e+00
1.388888888888888942e-03,5.000000000000000000e-01,1.240734281867017230e-01,9.009183723272041755e-01,1.369988967243848998e+00,3.369140954934697785e+00
2.083333333333333304e-03,7.500000000000000000e-01,1.250249330049936491e-01,9.032469521547402680e-01,1.370349951799344046e+00,3.337103399351024624e+00
2.777777777777777884e-03,1.000000000000000000e+00,1.259766992672866348e-01,9.055531475893056070e-01,1.370742292944544527e+00,3.304674582758778456e+00
3.472222222222222463e-03,1.250000000000000000e+00,1.269287495109243102e-01,9.078366883474194848e-01,1.371168181273935360e+00,3.271858624778180680e+00
4.166666666666666609e-03,1.500000000000000000e+00,1.278811077865361912e-01,9.100973070355707906e-01,1.371629784321593659e+00,3.238659728755942435e+00
4.861111111111111188e-03,1.750000000000000000e+00,1.288337996417407982e-01,9.123347392080576324e-01,1.372129245744266202e+00,3.205082180887589338e+00
5.555555555555555768e-03,2.000000000000000000e+00,1.297868521042818690e-01,9.145487234242105634e-01,1.372668684512740489e+00,3.171130349318672437e+00
6.250000000000000347e-03,2.250000000000000000e+00,1.307402936646070990e-01,9.167390013049830921e-01,1.373250194111788725e+00,3.136808683225077221e+00
6.944444444444444926e-03,2.500000000000000000e+00,1.316941542578953517e-01,9.189053175888989289e-01,1.373875841748967597e+00,3.102121711872681598e+00
7.638888888888889506e-03,2.750000000000000000e+00,1.326484652455349189e-01,9.210474201873366518e-01,1.374547667572539877e+00,3.067074043656577764e+00
8.333333333333333218e-03,3.000000000000000000e+00,1.336032593960646830e-01,9.231650602391415772e-01,1.375267683898799387e+00,3.031670365120113342e+00
9.027777777777778664e-03,3.250000000000000444e+00,1.345585708655801516e-01,9.252579921645481820e-01,1.376037874449061338e+00,2.995915439953991122e+00
9.722222222222222376e-03,3.500000000000000000e+00,1.355144351776143286e-01,9.273259737184027518e-01,1.376860193596583182e+00,2.959814107975686337e+00
1.041666666666666782e-02,3.750000000000000444e+00,1.364708892024983911e-01,9.293687660426682706e-01,1.377736565623685738e+00,2.923371284089433697e+00
1.111111111111111154e-02,4.000000000000000000e+00,1.374279711362098033e-01,9.313861337182012257e-01,1.378668883989323746e+00,2.886591957227051086e+00
1.180555555555555525e-02,4.250000000000000000e+00,1.383857204787167505e-01,9.333778448157866725e-01,1.379659010607370506e+00,2.849481189269867265e+00
1.250000000000000069e-02,4.500000000000000000e+00,1.393441780118239715e-01,9.353436709464187926e-01,1.380708775135861099e+00,2.812044113952024027e+00
1.319444444444444441e-02,4.750000000000000000e+00,1.403033857765291770e-01,9.372833873108107339e-01,1.381819974277451069e+00,2.774285935745441467e+00
1.388888888888888985e-02,5.000000000000000000e+00,1.412633870498982425e-01,9.391967727481268513e-01,1.382994371091323060e+00,2.736211928726715037e+00
1.458333333333333356e-02,5.250000000000000000e+00,1.422242263214656688e-01,9.410836097839206937e-01,1.384233694316801433e+00,2.697827435426247256e+00
1.527777777777777901e-02,5.500000000000000000e+00,1.431859492691703317e-01,9.429436846772675240e-01,1.385539637708891325e+00,2.659137865659901845e+00
1.597222222222222446e-02,5.750000000000000888e+00,1.441486027348332088e-01,9.447767874670794930e-01,1.386913859385992209e+00,2.620148695343474721e+00
1.666666666666666644e-02,6.000000000000000000e+00,1.451122346991873258e-01,9.465827120175920317e-01,1.388357981190006862e+00,2.580865465290292704e+00
1.736111111111111188e-02,6.250000000000000000e+00,1.460768942564664441e-01,9.483612560630088062e-01,1.389873588059074239e+00,2.541293779992241930e+00
1.805555555555555733e-02,6.500000000000000888e+00,1.470426315885647039e-01,9.501122212512965737e-01,1.391462227413144737e+00,2.501439306384541261e+00
