motor_time_fraction,motor_angle_deg,small_linear,large_linear,small_6h,large_6h,delta_small,delta_large,dsmall6h_dt,dlarge6h_dt
0.000000000000000000e+00,0.000000000000000000e+00,1.134914692692586408e-01,1.000000000000000000e+00,8.281440965274983190e-02,8.783704896714379373e-01,-3.067705961650880886e-02,-1.216295103285620627e-01,9.822999568429490180e-01,3.965756723631138847e+00
4.166666666666666934e-04,1.500000000000000222e-01,1.142390222863589738e-01,9.992407509763225892e-01,8.322438502786816406e-02,8.800186366818827377e-01,-3.101463725849080977e-02,-1.192221142944398515e-01,9.855878305350370683e-01,3.945314964850182182e+00
8.333333333333333868e-04,3.000000000000000444e-01,1.149865753034592930e-01,9.984815019526450675e-01,8.363573785238859193e-02,8.816582239393132570e-01,-3.135083745107070108e-02,-1.168232780133318105e-01,9.889117582846980170e-01,3.924670146362637446e+00
1.250000000000000026e-03,4.500000000000000111e-01,1.157341283205596261e-01,9.977222529289676567e-01,8.404848320395298666e-02,8.832891671334544004e-01,-3.168564511660663940e-02,-1.144330857955132563e-01,9.922720040037318334e-01,3.903823701702970439e+00
1.666666666666666774e-03,6.000000000000000888e-01,1.164816813376599453e-01,9.969630039052901349e-01,8.446263626934162605e-02,8.849113825556316204e-01,-3.201904506831831920e-02,-1.120516213496585145e-01,9.956688276284966221e-01,3.882777084997273143e+00
2.083333333333333304e-03,7.500000000000000000e-01,1.172292343547602783e-01,9.962037548816127241e-01,8.487821234280100435e-02,8.865247871073156372e-01,-3.235102201195927396e-02,-1.096789677742970870e-01,9.991024850506016186e-01,3.861531770784751405e+00
2.500000000000000052e-03,9.000000000000000222e-01,1.179767873718605975e-01,9.954445058579353134e-01,8.529522682434420577e-02,8.881292983085906645e-01,-3.268156054751639172e-02,-1.073152075493446489e-01,1.002573228047756837e+00,3.840089253836362904e+00
2.916666666666666800e-03,1.050000000000000044e+00,1.187243403889609306e-01,9.946852568342577916e-01,8.571369521802289781e-02,8.897248343065434772e-01,-3.301064517093803274e-02,-1.049604225277143144e-01,1.006081304214789141e+00,3.818451048970607609e+00
3.333333333333333547e-03,1.200000000000000178e+00,1.194718934060612636e-01,9.939260078105803808e-01,8.613363313016993150e-02,8.913113138835808691e-01,-3.333826027589133212e-02,-1.026146939269995118e-01,1.009626956894844607e+00,3.796618690866515156e+00
3.750000000000000295e-03,1.350000000000000089e+00,1.202194464231615828e-01,9.931667587869028591e-01,8.655505626761343663e-02,8.928886564656629554e-01,-3.366439015554814618e-02,-1.002781023212399036e-01,1.013210425110791846e+00,3.774593733873857992e+00
4.166666666666666609e-03,1.500000000000000000e+00,1.209669994402619159e-01,9.924075097632254483e-01,8.697798043586207895e-02,8.944567821304613142e-01,-3.398901900439983692e-02,-9.795072763276413408e-02,1.016831943496847135e+00,3.752377751820613838e+00
