motor_time_fraction,motor_angle_deg,small_fraction_0_1,large_fraction_0_1,dsmall_dt,dlarge_dt
0.000000000000000000e+00,0.000000000000000000e+00,8.358734520687484404e-02,8.773551932773890893e-01,1.014783021563908427e+00,3.968389974389627373e+00
3.472222222222222355e-04,1.250000000000000000e-01,8.394017457397634496e-02,8.787301716788388228e-01,1.017517328360607820e+00,3.951462561622204550e+00
6.944444444444444709e-04,2.500000000000000000e-01,8.429395668883513104e-02,8.800992485356821105e-01,1.020270869120378565e+00,3.934397211074240452e+00
1.041666666666666652e-03,3.750000000000000000e-01,8.464869825121988656e-02,8.814623760925646145e-01,1.023043766530980836e+00,3.917194728972103412e+00
1.388888888888888942e-03,5.000000000000000000e-01,8.500440600344164044e-02,8.828195068756383712e-01,1.025836142944849261e+00,3.899855930557865946e+00
1.736111111111111232e-03,6.250000000000000000e-01,8.536108673023472260e-02,8.841705936956815171e-01,1.028648120365348140e+00,3.882381640023125247e+00
2.083333333333333304e-03,7.500000000000000000e-01,8.571874725863289080e-02,8.855155896511937019e-01,1.031479820432583683e+00,3.864772690442098924e+00
2.430555555555555594e-03,8.750000000000000000e-01,8.607739445784091947e-02,8.868544481314689643e-01,1.034331364408780596e+00,3.847029923704043952e+00
2.777777777777777884e-03,1.000000000000000000e+00,8.643703523910097053e-02,8.881871228196444035e-01,1.037202873163220129e+00,3.829154190444968187e+00
3.125000000000000173e-03,1.125000000000000000e+00,8.679767655555309380e-02,8.895135676957255377e-01,1.040094467156732039e+00,3.811146349978661529e+00
3.472222222222222463e-03,1.250000000000000000e+00,8.715932540209057888e-02,8.908337370395867927e-01,1.043006266425761330e+00,3.793007270227057415e+00
3.819444444444444753e-03,1.375000000000000000e+00,8.752198881521053297e-02,8.921475854339493416e-01,1.045938390565979592e+00,3.774737827649912614e+00
4.166666666666666609e-03,1.500000000000000000e+00,8.788567387285689536e-02,8.934550677673324115e-01,1.048890958715471555e+00,3.756338907173816022e+00
4.513888888888889332e-03,1.625000000000000222e+00,8.825038769425935792e-02,8.947561392369804967e-01,1.051864089537477343e+00,3.737811402120564175e+00
4.861111111111111188e-03,1.750000000000000000e+00,8.861613743976497204e-02,8.960507553517670365e-01,1.054857901202698400e+00,3.719156214134854643e+00
