motor_time_fraction,motor_angle_deg,source_fourier_small,source_fourier_large,spline_small,spline_large,source_fourier_dsmall_dt,source_fourier_dlarge_dt,spline_dsmall_dt,spline_dlarge_dt
0.000000000000000000e+00,0.000000000000000000e+00,8.482336590880271143e-02,8.773092016911474555e-01,8.460216362725758721e-02,8.775340547531366164e-01,1.029860576433708319e+00,3.953037940144000562e+00,1.012063511404164728e+00,3.880691806480083272e+00
3.472222222222222355e-04,1.250000000000000000e-01,8.518138478993855789e-02,8.786788882831394476e-01,8.495391518618869431e-02,8.788782494160353176e-01,1.032330672899600010e+00,3.936333853788828829e+00,1.014031199435593722e+00,3.861862264831337654e+00
6.944444444444444709e-04,2.500000000000000000e-01,8.554026395197461552e-02,8.800427509568585771e-01,8.530635594033585123e-02,8.802158985571968408e-01,1.034815825002803891e+00,3.919492300740336166e+00,1.016033275849466344e+00,3.842989601277136291e+00
1.041666666666666652e-03,3.750000000000000000e-01,8.590000865447314227e-02,8.814007421165827028e-01,8.565949783010982921e-02,8.815469872037384746e-01,1.037316216697329319e+00,3.902514064488677992e+00,1.018069740645783483e+00,3.824073815817460087e+00
1.388888888888888942e-03,5.000000000000000000e-01,8.626062422102374894e-02,8.827528144401559640e-01,8.601335279592123295e-02,8.828715003827758423e-01,1.039832032821078611e+00,3.885399937283929628e+00,1.020140593824545139e+00,3.805114908452318367e+00
1.736111111111111232e-03,6.250000000000000000e-01,8.662211603954476924e-02,8.840989208820234646e-01,8.636793277818033410e-02,8.841894231214246780e-01,1.042363459064823639e+00,3.868150720074089222e+00,1.022245835385750201e+00,3.786112879181719126e+00
2.083333333333333304e-03,7.500000000000000000e-01,8.698448956257405495e-02,8.854390146762366465e-01,8.672324971729812593e-02,8.855007404468018262e-01,1.044910681940375285e+00,3.850767222442525561e+00,1.024385465329400224e+00,3.767067728005647709e+00
2.430555555555555594e-03,8.750000000000000000e-01,8.734775030754814151e-02,8.867730493394432312e-01,8.707931555368493559e-02,8.868054373860230211e-01,1.047473888747950443e+00,3.833250262544861453e+00,1.026559483655494542e+00,3.747979454924111220e+00
2.777777777777777884e-03,1.000000000000000000e+00,8.771190385707061665e-02,8.881009786738507383e-01,8.743614222775128453e-02,8.881034989662042189e-01,1.050053267542758073e+00,3.815600667045317973e+00,1.028767890364031823e+00,3.728848059937115877e+00
3.125000000000000173e-03,1.125000000000000000e+00,8.807695585916813785e-02,8.894227567701721293e-01,8.779374167990794398e-02,8.893949102144624863e-01,1.052649007100782352e+00,3.797819271052489842e+00,1.031010685455014508e+00,3.709673543044647470e+00
3.472222222222222463e-03,1.250000000000000000e+00,8.844291202753445935e-02,8.907383380105442505e-01,8.815212585056529659e-02,8.906796561579132243e-01,1.055261296883791999e+00,3.779906918054589227e+00,1.033287868928441045e+00,3.690455904246713992e+00
3.819444444444444753e-03,1.375000000000000000e+00,8.880977814176299612e-02,8.920476770714280690e-01,8.851130668013386382e-02,8.919577218236722782e-01,1.057890327003567554e+00,3.761864459854167286e+00,1.035599440784311209e+00,3.671195143543322548e+00
4.166666666666666609e-03,1.500000000000000000e+00,8.917756004756506594e-02,8.933507289264821516e-01,8.887129610902452792e-02,8.932290922388569365e-01,1.060536288185357945e+00,3.743692756502273067e+00,1.037945401022626335e+00,3.651891260934458927e+00
4.513888888888889332e-03,1.625000000000000222e+00,8.954626365697782031e-02,8.946474488494169375e-01,8.923210607764754665e-02,8.944937524305820453e-01,1.063199371730569665e+00,3.725392676232110123e+00,1.040325749643384645e+00,3.632544256420137341e+00
4.861111111111111188e-03,1.750000000000000000e+00,8.991589494855707632e-02,8.959377924168239193e-01,8.959374852641370512e-02,8.957516874259650042e-01,1.065879769478700556e+00,3.706965095392158016e+00,1.042740486646588360e+00,3.613154130000341802e+00
5.208333333333333912e-03,1.875000000000000222e+00,9.028645996755638170e-02,8.972217155109810660e-01,8.995623539573353866e-02,8.970028822521214362e-01,1.068577673768512870e+00,3.688410898378790215e+00,1.045189612032235704e+00,3.593720881675082079e+00
5.555555555555555768e-03,2.000000000000000000e+00,9.065796482609589368e-02,8.984991743226353744e-01,9.031957862601737441e-02,8.982473219361667427e-01,1.071293277398468691e+00,3.669730977568364860e+00,1.047673125800326899e+00,3.574244511444363503e+00
5.902777777777777624e-03,2.125000000000000000e+00,9.103041570331295296e-02,8.997701253537636612e-01,9.068379015767613627e-02,8.994849915052184341e-01,1.074026773586422623e+00,3.650926233248820374e+00,1.050191027950862832e+00,3.554725019308172751e+00
6.250000000000000347e-03,2.250000000000000000e+00,9.140381884550141667e-02,9.010345254203041554e-01,9.104888193112017913e-02,9.007158759863922448e-01,1.076778355928581288e+00,3.631997573550766134e+00,1.052743318483843060e+00,3.535162405266516483e+00
6.597222222222222203e-03,2.375000000000000000e+00,9.177818056623530951e-02,9.022923316548714379e-01,9.141486588676005220e-02,9.019399604068033538e-01,1.079548218357745615e+00,3.612945914378077550e+00,1.055329997399266695e+00,3.515556669319403138e+00
6.944444444444444926e-03,2.500000000000000000e+00,9.215350724647951297e-02,9.035435015094414046e-01,9.178175396500652672e-02,9.031572297935691607e-01,1.082336555100829267e+00,3.593772179337999972e+00,1.057951064697135291e+00,3.495907811466814952e+00
7.291666666666666782e-03,2.625000000000000000e+00,9.252980533468324609e-02,9.047879927580133597e-01,9.214955810627001309e-02,9.043676691738052886e-01,1.085143560635674742e+00,3.574477299670758335e+00,1.060606520377448403e+00,3.476215831708762583e+00
7.638888888888889506e-03,2.750000000000000000e+00,9.290708134685979336e-02,9.060257634992502362e-01,9.251829025096099113e-02,9.055712635746276939e-01,1.087969429647173580e+00,3.555062214178706714e+00,1.063296364440204256e+00,3.456480730045253580e+00
7.986111111111112229e-03,2.875000000000000444e+00,9.328534186665114747e-02,9.072567721590891754e-01,9.288796233949030146e-02,9.067679980231531101e-01,1.090814356982688693e+00,3.535527869154978742e+00,1.066020596885405514e+00,3.436702506476270624e+00
8.333333333333333218e-03,3.000000000000000000e+00,9.366459354537626236e-02,9.084809774933320092e-01,9.325858631226839612e-02,9.079578575464974932e-01,1.093678537606802559e+00,3.515875218311679706e+00,1.068779217713050844e+00,3.416881161001821710e+00
8.680555555555555941e-03,3.125000000000000000e+00,9.404484310206380482e-02,9.096983385902083219e-01,9.363017410970563004e-02,9.091408271717763556e-01,1.096562166555390183e+00,3.496105222707601268e+00,1.071572226923139581e+00,3.397016693621915273e+00
9.027777777777778664e-03,3.250000000000000444e+00,9.442609732346859963e-02,9.109088148729126422e-01,9.400273767221289933e-02,9.103168919261068748e-01,1.099465438889032587e+00,3.476218850675497407e+00,1.074399624515673279e+00,3.377109104336535772e+00
9.374999999999999653e-03,3.375000000000000000e+00,9.480836306407293412e-02,9.121123661021198759e-01,9.437628894020065606e-02,9.114860368366045629e-01,1.102388549645776150e+00,3.456217077748871880e+00,1.077261410490651272e+00,3.357158393145691644e+00
9.722222222222222376e-03,3.500000000000000000e+00,9.519164724606932193e-02,9.133089523784712060e-01,9.475083985407935228e-02,9.126482469303854872e-01,1.105331693793249581e+00,3.436100886588342451e+00,1.080157584848072450e+00,3.337164560049389550e+00
1.006944444444444510e-02,3.625000000000000444e+00,9.557595685932801510e-02,9.144985341450343475e-01,9.512640235425975921e-02,9.138035072345664922e-01,1.108295066180152721e+00,3.415871266907536619e+00,1.083088147587938810e+00,3.317127605047613947e+00
1.041666666666666782e-02,3.750000000000000444e+00,9.596129896134798776e-02,9.156810721897428174e-01,9.550298838115238442e-02,9.149518027762630901e-01,1.111278861487118741e+00,3.395529215398565892e+00,1.086053098710249465e+00,3.297047528140372830e+00
1.076388888888888881e-02,3.875000000000000000e+00,9.634768067718856022e-02,9.168565276478040094e-01,9.588060987516758282e-02,9.160931185825913481e-01,1.114283274176972149e+00,3.375075735657046216e+00,1.089052438215003304e+00,3.276924329327675078e+00
1.111111111111111154e-02,4.000000000000000000e+00,9.673510919938627106e-02,9.180248620040839524e-01,9.625927877671627830e-02,9.172274396806682217e-01,1.117308498444379516e+00,3.354511838106689847e+00,1.092086166102201883e+00,3.256758008609503374e+00
1.145833333333333426e-02,4.125000000000000000e+00,9.712359178785197333e-02,9.191860370954644255e-01,9.663900702620888128e-02,9.183547510976091122e-01,1.120354728164924651e+00,3.333838539923478450e+00,1.095154282371845200e+00,3.236548565985866155e+00
1.180555555555555525e-02,4.250000000000000000e+00,9.751313576975211006e-02,9.203400151131743145e-01,9.701980656405574666e-02,9.194750378605303087e-01,1.123422156843591369e+00,3.313056864959402770e+00,1.098256787023931258e+00,3.216296001456772302e+00
1.215277777777777797e-02,4.375000000000000000e+00,9.790374853937028332e-02,9.214867586050949910e-01,9.740168933066783996e-02,9.205882849965483228e-01,1.126510977562696691e+00,3.292167843665786187e+00,1.101393680058462943e+00,3.196000315022204941e+00
1.250000000000000069e-02,4.500000000000000000e+00,9.829543755795136506e-02,9.226262304780379342e-01,9.778466726645554385e-02,9.216944775327792216e-01,1.129621382929262285e+00,3.271172513016207262e+00,1.104564961475438700e+00,3.175661506682171620e+00
1.284722222222222342e-02,4.625000000000000000e+00,9.868821035352767779e-02,9.237583939999963745e-01,9.816875231182926875e-02,9.227936004963384065e-01,1.132753565021848541e+00,3.250071916428988850e+00,1.107770631274857420e+00,3.155279576436682554e+00
1.319444444444444441e-02,4.750000000000000000e+00,9.908207452072620436e-02,9.248832128023680710e-01,9.855395640719992467e-02,9.238856389143432768e-01,1.135907715336860635e+00,3.228867103689312401e+00,1.111010689456721545e+00,3.134854524285717758e+00
1.354166666666666713e-02,4.875000000000000000e+00,9.947703772055634108e-02,9.260006508821548854e-01,9.894029149297767223e-02,9.249705778139089007e-01,1.139084024734340117e+00,3.207559130870910380e+00,1.114285136021028633e+00,3.114386350229297218e+00
1.388888888888888985e-02,5.000000000000000000e+00,9.987310768018016482e-02,9.271106726041306034e-01,9.932776950957353246e-02,9.260484022221521228e-01,1.142282683383255781e+00,3.186149060257377208e+00,1.117593970967781125e+00,3.093875054267403168e+00
1.423611111111111084e-02,5.125000000000000000e+00,1.002702921926628410e-01,9.282132427029838873e-01,9.971640239739780476e-02,9.271190971661891211e-01,1.145503880706299382e+00,3.164637960263081862e+00,1.120937194296977912e+00,3.073320636400043160e+00
1.458333333333333356e-02,5.250000000000000000e+00,1.006685991167034500e-01,9.293083262854343607e-01,1.001062020968610244e-01,9.281826476731352971e-01,1.148747805324211724e+00,3.143026905353707434e+00,1.124314806008617440e+00,3.052723096627226074e+00
1.493055555555555629e-02,5.375000000000000000e+00,1.010680363763474254e-01,9.303958888323180521e-01,1.004971805483739627e-01,9.292390387701077170e-01,1.152014644999646897e+00,3.121316975966392349e+00,1.127726806102702595e+00,3.032082434948935479e+00
1.527777777777777901e-02,5.500000000000000000e+00,1.014686119606775377e-01,9.314758962006487453e-01,1.008893496923470995e-01,9.302882554842221152e-01,1.155304586580585102e+00,3.099509258429514524e+00,1.131173194579232044e+00,3.011398651365179813e+00
1.562500000000000000e-02,5.625000000000000000e+00,1.018703339234883765e-01,9.325483146256487998e-01,1.012827214691907896e-01,9.313302828425942259e-01,1.158617815943311369e+00,3.077604844882091850e+00,1.134653971438204012e+00,2.990671745875967069e+00
1.597222222222222446e-02,5.750000000000000888e+00,1.022732103829373795e-01,9.336131107227512160e-01,1.016773078193159707e-01,9.323651058723412266e-01,1.161954517934975284e+00,3.055604833192819836e+00,1.138169136679621607e+00,2.969901718481279929e+00
1.631944444444444545e-02,5.875000000000000000e+00,1.026772495211779046e-01,9.346702514895774971e-01,1.020731206831330395e-01,9.333927096005786295e-01,1.165314876315747483e+00,3.033510326878750885e+00,1.141718690303483719e+00,2.949088569181128161e+00
1.666666666666666644e-02,6.000000000000000000e+00,1.030824595839718444e-01,9.357197043078839815e-01,1.024701720010524481e-01,9.344130790544223908e-01,1.168699073700581348e+00,3.011322435023606747e+00,1.145302632309788349e+00,2.928232297975519760e+00
1.701388888888889089e-02,6.125000000000000888e+00,1.034888488802821471e-01,9.367614369454790868e-01,1.028684737134850091e-01,9.354261992609891330e-01,1.172107291500599446e+00,2.989042272195750805e+00,1.148920962698538828e+00,2.907332904864436518e+00
1.736111111111111188e-02,6.250000000000000000e+00,1.038964257818435488e-01,9.377954175581149077e-01,1.032680377608411609e-01,9.364320552473949233e-01,1.175539709864117599e+00,2.966670958365801525e+00,1.152573681469733380e+00,2.886390389847888649e+00
1.770833333333333287e-02,6.375000000000000000e+00,1.043051987227149868e-01,9.388216146913482829e-01,1.036688760835313416e-01,9.374306320407553850e-01,1.178996507617328993e+00,2.944209618823909302e+00,1.156260788623370228e+00,2.865404752925883258e+00
1.805555555555555733e-02,6.500000000000000888e+00,1.047151761988095869e-01,9.398399972823725523e-01,1.040710006219664335e-01,9.384219146681876955e-01,1.182477862204646346e+00,2.921659384096688683e+00,1.159982284159453148e+00,2.844375994098404803e+00
1.840277777777777832e-02,6.625000000000000000e+00,1.051263667674042085e-01,9.408505346618234455e-01,1.044744233165568054e-01,9.394058881568071451e-01,1.185983949628741208e+00,2.899021389863819298e+00,1.163738168077980140e+00,2.823304113365460388e+00
1.874999999999999931e-02,6.750000000000000000e+00,1.055387790466292969e-01,9.418531965555508867e-01,1.048791561077129370e-01,9.403825375337300230e-01,1.189514944390273499e+00,2.876296776874320393e+00,1.167528440378949872e+00,2.802189110727058896e+00
1.909722222222222376e-02,6.875000000000000888e+00,1.059524217149355463e-01,9.428479530863674851e-01,1.052852109358456967e-01,9.413518478260728406e-01,1.193071019427341728e+00,2.853486690862490072e+00,1.171353101062365232e+00,2.781030986183184339e+00
1.944444444444444475e-02,7.000000000000000000e+00,1.063673035105425213e-01,9.438347747757622752e-01,1.056925997413654394e-01,9.423138040609516652e-01,1.196652346054667637e+00,2.830592282463535003e+00,1.175212150128225108e+00,2.759829739733843823e+00
1.979166666666666574e-02,7.125000000000000000e+00,1.067834332308623402e-01,9.448136325455904760e-01,1.061013344646826451e-01,9.432683912654822311e-01,1.200259093902525054e+00,2.807614707128876397e+00,1.179105587576527503e+00,2.738585371379046673e+00
2.013888888888889020e-02,7.250000000000000888e+00,1.072008197319060524e-01,9.457844977197283898e-01,1.065114270462081542e-01,9.442155944667813827e-01,1.203891430855434486e+00,2.784555125041145995e+00,1.183033413407275747e+00,2.717297881118775571e+00
2.048611111111111119e-02,7.375000000000000000e+00,1.076194719276651890e-01,9.467473420257027650e-01,1.069228894263524327e-01,9.451553986919647432e-01,1.207549522990641888e+00,2.761414701028876095e+00,1.186995627620467841e+00,2.695967268953038953e+00
2.083333333333333565e-02,7.500000000000000888e+00,1.080393987894753965e-01,9.477021375962895178e-01,1.073357335455258355e-01,9.460877889681483799e-01,1.211233534516390487e+00,2.738194604480885808e+00,1.190992230216102454e+00,2.674593534881846146e+00
2.118055555555555663e-02,7.625000000000000000e+00,1.084606093453540920e-01,9.486488569710809227e-01,1.077499713441393003e-01,9.470127503224491372e-01,1.214943627710011853e+00,2.714896009260373777e+00,1.195023221194183360e+00,2.653176678905178498e+00
2.152777777777777762e-02,7.750000000000000000e+00,1.088831126793226439e-01,9.495874730980252698e-01,1.081656147626030434e-01,9.479302677819821943e-01,1.218679962855847343e+00,2.691520093618707588e+00,1.199088600554705897e+00,2.631716701023054661e+00
2.187500000000000208e-02,7.875000000000000888e+00,1.093069179306999650e-01,9.505179593349354361e-01,1.085826757413279886e-01,9.488403263738648397e-01,1.222442698183012766e+00,2.668068040108934724e+00,1.203188368297675392e+00,2.610213601235457759e+00
2.222222222222222307e-02,8.000000000000000000e+00,1.097320342933808118e-01,9.514402894509670361e-01,1.090011662207245186e-01,9.497429111252125855e-01,1.226231989803041156e+00,2.644541035499000881e+00,1.207322524423088295e+00,2.588667379542394009e+00
2.256944444444444406e-02,8.125000000000000000e+00,1.101584710150886187e-01,9.523544376280669299e-01,1.094210981412030576e-01,9.506380070631411661e-01,1.230047991647391425e+00,2.620940270684696038e+00,1.211491068930944381e+00,2.567078035943874070e+00
2.291666666666666852e-02,8.250000000000000000e+00,1.105862373966070428e-01,9.532603784623916443e-01,1.098424834431744740e-01,9.515255992147677588e-01,1.233890855404877973e+00,2.597266940602319885e+00,1.215694001821245651e+00,2.545445570439879734e+00
2.326388888888888951e-02,8.375000000000000000e+00,1.110153427909918028e-01,9.541580869656947073e-01,1.102653340670492338e-01,9.524056726072079870e-01,1.237760730458997038e+00,2.573522244141075888e+00,1.219931323093991438e+00,2.523769983030421216e+00
2.361111111111111049e-02,8.500000000000000000e+00,1.114457966027584818e-01,9.550475385666850059e-01,1.106896619532376919e-01,9.532782122675774739e-01,1.241657763825205540e+00,2.549707384055207360e+00,1.224203032749179965e+00,2.502051273715504287e+00
2.395833333333333495e-02,8.625000000000000000e+00,1.118776082870487770e-01,9.559287091123518376e-01,1.111154790421507443e-01,9.541432032229933968e-01,1.245582100088145516e+00,2.525823566875857740e+00,1.228509130786813675e+00,2.480289442495114738e+00
2.430555555555555594e-02,8.750000000000000000e+00,1.123107873487770719e-01,9.568015748692617617e-01,1.115427972741988294e-01,9.550006305005714902e-01,1.249533881338838581e+00,2.501872002822691954e+00,1.232849617206892345e+00,2.458484489369259229e+00
2.465277777777778040e-02,8.875000000000001776e+00,1.127453433417527628e-01,9.576661125248242534e-01,1.119716285897923297e-01,9.558504791274272661e-01,1.253513247111877726e+00,2.477853905715249105e+00,1.237224492009413090e+00,2.436636414337947532e+00
2.500000000000000139e-02,9.000000000000000000e+00,1.131812858677814643e-01,9.585222991885269384e-01,1.124019849293421691e-01,9.566927341306779020e-01,1.257520334322613342e+00,2.453770492884058463e+00,1.241633755194379685e+00,2.414745217401160993e+00
2.534722222222222238e-02,9.125000000000000000e+00,1.136186245757455776e-01,9.593701123931368535e-01,1.128338782332587581e-01,9.575273805374393543e-01,1.261555277204380543e+00,2.429622985081507647e+00,1.246077406761790796e+00,2.392810898558909383e+00
2.569444444444444683e-02,9.250000000000000000e+00,1.140573691606611290e-01,9.602095300958758406e-01,1.132673204419524515e-01,9.583544033748270241e-01,1.265618207245754911e+00,2.405412606392469232e+00,1.250555446711644203e+00,2.370833457811201583e+00
2.604166666666666782e-02,9.375000000000000000e+00,1.144975293627146784e-01,9.610405306795598568e-01,1.137023234958341872e-01,9.591737876699579779e-01,1.269709253127879744e+00,2.381140584144705308e+00,1.255067875043943459e+00,2.348812895158018943e+00
2.638888888888888881e-02,9.500000000000000000e+00,1.149391149662763595e-01,9.618630929537103080e-01,1.141388993353143755e-01,9.599855184499479499e-01,1.273828540661872566e+00,2.356808148819030002e+00,1.259614691758687011e+00,2.326749210599371231e+00
2.673611111111111327e-02,9.625000000000000000e+00,1.153821357988952384e-01,9.626771961556338519e-01,1.145770599008034130e-01,9.607895807419127854e-01,1.277976192726322680e+00,2.332416533959254856e+00,1.264195896855872636e+00,2.304642404135267331e+00
2.708333333333333426e-02,9.750000000000000000e+00,1.158266017302664874e-01,9.634828199514696712e-01,1.150168171327122096e-01,9.615859595729694398e-01,1.282152329204919061e+00,2.307966976081911259e+00,1.268811490335504555e+00,2.282492475765689033e+00
2.743055555555555525e-02,9.875000000000000000e+00,1.162725226711838061e-01,9.642799444372055495e-01,1.154581829714511343e-01,9.623746399702334253e-01,1.286357066924198600e+00,2.283460714585764606e+00,1.273461472197580990e+00,2.260299425490645220e+00
2.777777777777777971e-02,1.000000000000000000e+01,1.167199085724655722e-01,9.650685501396637500e-01,1.159011693574306390e-01,9.631556069608210313e-01,1.290590519591463536e+00,2.258898991661104638e+00,1.278145842442099056e+00,2.238063253310144773e+00
2.812500000000000069e-02,1.012500000000000000e+01,1.171687694238610217e-01,9.658486180174534752e-01,1.163457882310616476e-01,9.639288455718485471e-01,1.294852797732859218e+00,2.234283052198848374e+00,1.282864601069063859e+00,2.215783959224170374e+00
2.847222222222222168e-02,1.025000000000000000e+01,1.176191152529359324e-01,9.666201294618941287e-01,1.167920515327545011e-01,9.646943408304321510e-01,1.299144008631651470e+00,2.209614143699427213e+00,1.287617748078472291e+00,2.193461543232730904e+00
2.881944444444444614e-02,1.037500000000000000e+01,1.180709561239349642e-01,9.673830662979048256e-01,1.172399712029195962e-01,9.654520777636876883e-01,1.303464256266709365e+00,2.184893516181484863e+00,1.292405283470323241e+00,2.171096005335834800e+00
2.916666666666666713e-02,1.050000000000000000e+01,1.185243021366240157e-01,9.681374107848614852e-01,1.176895591819678843e-01,9.662020413987317813e-01,1.307813641251220016e+00,2.160122422090387850e+00,1.297227207244620484e+00,2.148687345533463855e+00
2.951388888888889159e-02,1.062500000000000178e+01,1.189791634251107649e-01,9.688831456174271661e-01,1.181408274103096234e-01,9.669442167626801643e-01,1.312192260771652963e+00,2.135302116206539313e+00,1.302083519401359579e+00,2.126235563825637165e+00
2.986111111111111258e-02,1.075000000000000000e+01,1.194355501566451427e-01,9.696202539263427678e-01,1.185937878283556263e-01,9.676785888826494597e-01,1.316600208526980564e+00,2.110433855553520477e+00,1.306974219940545190e+00,2.103740660212335634e+00
3.020833333333333356e-02,1.087500000000000000e+01,1.198934725303965054e-01,9.703487192791929727e-01,1.190484523765164143e-01,9.684051427857554017e-01,1.321037574668200154e+00,2.085518899306057605e+00,1.311899308862174873e+00,2.081202634693569475e+00
3.055555555555555802e-02,1.100000000000000000e+01,1.203529407762122250e-01,9.710685256811355526e-01,1.195048329952022731e-01,9.691238634991141687e-01,1.325504445738144632e+00,2.060558508697806879e+00,1.316858786166246631e+00,2.058621487269345796e+00
3.090277777777777901e-02,1.112500000000000000e+01,1.208139651533543524e-01,9.717796575756006972e-01,1.199629416248242236e-01,9.698347360498421610e-01,1.330000904611624568e+00,2.035553946928981173e+00,1.321852651852764682e+00,2.035997217939649051e+00
3.125000000000000000e-02,1.125000000000000000e+01,1.212765559492153533e-01,9.724820998449584808e-01,1.204227902057926208e-01,9.705377454650554458e-01,1.334527030435912254e+00,2.010506479073817410e+00,1.326880905921727027e+00,2.013329826704485459e+00
3.159722222222222099e-02,1.137500000000000000e+01,1.217407234780134573e-01,9.731758378111513563e-01,1.208843906785177919e-01,9.712328767718700906e-01,1.339082898571579472e+00,1.985417371987875601e+00,1.331943548373131225e+00,1.990619313563866788e+00
