motor_time_fraction,motor_angle_deg,source_fourier_small,source_fourier_large,spline_small,spline_large,source_fourier_dsmall_dt,source_fourier_dlarge_dt,spline_dsmall_dt,spline_dlarge_dt
0.000000000000000000e+00,0.000000000000000000e+00,8.482336590880271143e-02,8.773092016911474555e-01,8.337400365953157033e-02,8.823371944619557983e-01,1.029860576433708319e+00,3.953037940144000562e+00,1.081461290440127510e+00,3.880850254828616119e+00
3.472222222222222355e-04,1.250000000000000000e-01,8.518138478993855789e-02,8.786788882831394476e-01,8.375002385850398301e-02,8.836811535545823215e-01,1.032330672899600010e+00,3.936333853788828829e+00,1.084416504364184464e+00,3.860321795649541698e+00
6.944444444444444709e-04,2.500000000000000000e-01,8.554026395197461552e-02,8.800427509568585771e-01,8.412707168250919965e-02,8.850179510401505745e-01,1.034815825002803891e+00,3.919492300740336166e+00,1.087380410630230276e+00,3.839599398176979150e+00
1.041666666666666652e-03,3.750000000000000000e-01,8.590000865447314227e-02,8.814007421165827028e-01,8.450515014972190264e-02,8.863475195789765060e-01,1.037316216697329319e+00,3.902514064488677992e+00,1.090353009238267390e+00,3.818683062410912932e+00
1.388888888888888942e-03,5.000000000000000000e-01,8.626062422102374894e-02,8.827528144401559640e-01,8.488426227831621929e-02,8.876697928207882837e-01,1.039832032821078611e+00,3.885399937283929628e+00,1.093334300188294472e+00,3.797591285842635944e+00
1.736111111111111232e-03,6.250000000000000000e-01,8.662211603954476924e-02,8.840989208820234646e-01,8.526441108646631850e-02,8.889847317914736369e-01,1.042363459064823639e+00,3.868150720074089222e+00,1.096324283480310413e+00,3.776453731400929659e+00
2.083333333333333304e-03,7.500000000000000000e-01,8.698448956257405495e-02,8.854390146762366465e-01,8.564559959234670228e-02,8.902923277357142062e-01,1.044910681940375285e+00,3.850767222442525561e+00,1.099322959114317655e+00,3.755295453515778981e+00
2.430555555555555594e-03,8.750000000000000000e-01,8.734775030754814151e-02,8.867730493394432312e-01,8.602783081413167832e-02,8.915925734578691308e-01,1.047473888747950443e+00,3.833250262544861453e+00,1.102330327090314865e+00,3.734116452187193680e+00
2.777777777777777884e-03,1.000000000000000000e+00,8.771190385707061665e-02,8.881009786738507383e-01,8.641110803860416190e-02,8.928854617622974388e-01,1.050053267542758073e+00,3.815600667045317973e+00,1.105349360989210217e+00,3.712916727415182194e+00
3.125000000000000173e-03,1.125000000000000000e+00,8.807695585916813785e-02,8.894227567701721293e-01,8.679543666714367722e-02,8.941709854533604895e-01,1.052649007100782352e+00,3.797819271052489842e+00,1.108386615354272076e+00,3.691696279199725872e+00
3.472222222222222463e-03,1.250000000000000000e+00,8.844291202753445935e-02,8.907383380105442505e-01,8.718082310201451246e-02,8.954491373354174222e-01,1.055261296883791999e+00,3.779906918054589227e+00,1.111442325458212421e+00,3.670455107540834927e+00
3.819444444444444753e-03,1.375000000000000000e+00,8.880977814176299612e-02,8.920476770714280690e-01,8.756727375145935410e-02,8.967199102128281529e-01,1.057890327003567554e+00,3.761864459854167286e+00,1.114516491301029033e+00,3.649193212438518241e+00
4.166666666666666609e-03,1.500000000000000000e+00,8.917756004756506594e-02,8.933507289264821516e-01,8.795479502372108294e-02,8.979832968899531531e-01,1.060536288185357945e+00,3.743692756502273067e+00,1.117609112882725242e+00,3.627910593892756275e+00
4.513888888888889332e-03,1.625000000000000222e+00,8.954626365697782031e-02,8.946474488494169375e-01,8.834339332704206627e-02,8.992392901711512287e-01,1.063199371730569665e+00,3.725392676232110123e+00,1.120720190203297939e+00,3.606607251903569455e+00
4.861111111111111188e-03,1.750000000000000000e+00,8.991589494855707632e-02,8.959377924168239193e-01,8.873307506966536529e-02,9.004878828607835173e-01,1.065879769478700556e+00,3.706965095392158016e+00,1.123849723262750233e+00,3.585283186470937800e+00
5.208333333333333912e-03,1.875000000000000222e+00,9.028645996755638170e-02,8.972217155109810660e-01,8.912384665983327792e-02,9.017290677632097129e-01,1.068577673768512870e+00,3.688410898378790215e+00,1.126997712061080348e+00,3.563938397594871077e+00
5.555555555555555768e-03,2.000000000000000000e+00,9.065796482609589368e-02,8.984991743226353744e-01,8.951571450578858780e-02,9.029628376827888436e-01,1.071293277398468691e+00,3.669730977568364860e+00,1.130164156598287395e+00,3.542572885275378169e+00
5.902777777777777624e-03,2.125000000000000000e+00,9.103041570331295296e-02,8.997701253537636612e-01,8.990868501577409244e-02,9.041891854238817139e-01,1.074026773586422623e+00,3.650926233248820374e+00,1.133349056874373373e+00,3.521186649512441758e+00
6.250000000000000347e-03,2.250000000000000000e+00,9.140381884550141667e-02,9.010345254203041554e-01,9.030276459803235345e-02,9.054081037908483509e-01,1.076778355928581288e+00,3.631997573550766134e+00,1.136552412889337837e+00,3.499779690306069835e+00
6.597222222222222203e-03,2.375000000000000000e+00,9.177818056623530951e-02,9.022923316548714379e-01,9.069795966080587690e-02,9.066195855880475607e-01,1.079548218357745615e+00,3.612945914378077550e+00,1.139774224643178790e+00,3.478352007656271283e+00
6.944444444444444926e-03,2.500000000000000000e+00,9.215350724647951297e-02,9.035435015094414046e-01,9.109427661233762685e-02,9.078236236198404807e-01,1.082336555100829267e+00,3.593772179337999972e+00,1.143014492135899340e+00,3.456903601563028783e+00
7.291666666666666782e-03,2.625000000000000000e+00,9.252980533468324609e-02,9.047879927580133597e-01,9.149172186087015102e-02,9.090202106905866941e-01,1.085143560635674742e+00,3.574477299670758335e+00,1.146273215367497933e+00,3.435434472026352104e+00
7.638888888888889506e-03,2.750000000000000000e+00,9.290708134685979336e-02,9.060257634992502362e-01,9.189030181464591385e-02,9.102093396046452289e-01,1.087969429647173580e+00,3.555062214178706714e+00,1.149550394337973014e+00,3.413944619046248352e+00
7.986111111111112229e-03,2.875000000000000444e+00,9.328534186665114747e-02,9.072567721590891754e-01,9.229002288190790715e-02,9.113910031663774447e-01,1.090814356982688693e+00,3.535527869154978742e+00,1.152846029047327692e+00,3.392434042622700652e+00
8.333333333333333218e-03,3.000000000000000000e+00,9.366459354537626236e-02,9.084809774933320092e-01,9.269089147089865088e-02,9.125651941801424805e-01,1.093678537606802559e+00,3.515875218311679706e+00,1.156160119495560190e+00,3.370902742755717885e+00
8.680555555555555941e-03,3.125000000000000000e+00,9.404484310206380482e-02,9.096983385902083219e-01,9.309291398986066501e-02,9.137319054502999194e-01,1.096562166555390183e+00,3.496105222707601268e+00,1.159492665682669399e+00,3.349350719445308489e+00
9.027777777777778664e-03,3.250000000000000444e+00,9.442609732346859963e-02,9.109088148729126422e-01,9.349609684703689971e-02,9.148911297812104548e-01,1.099465438889032587e+00,3.476218850675497407e+00,1.162843667608658205e+00,3.327777972691455144e+00
9.374999999999999653e-03,3.375000000000000000e+00,9.480836306407293412e-02,9.121123661021198759e-01,9.390044645066987494e-02,9.160428599772336700e-01,1.102388549645776150e+00,3.456217077748871880e+00,1.166213125273524609e+00,3.306184502494167621e+00
9.722222222222222376e-03,3.500000000000000000e+00,9.519164724606932193e-02,9.133089523784712060e-01,9.430596920900211066e-02,9.171870888427290369e-01,1.105331693793249581e+00,3.436100886588342451e+00,1.169601038677268612e+00,3.284570308853453025e+00
1.006944444444444510e-02,3.625000000000000444e+00,9.557595685932801510e-02,9.144985341450343475e-01,9.471267153027659869e-02,9.183238091820573601e-01,1.108295066180152721e+00,3.415871266907536619e+00,1.173007407819891101e+00,3.262935391769295368e+00
1.041666666666666782e-02,3.750000000000000444e+00,9.596129896134798776e-02,9.156810721897428174e-01,9.512055982273581733e-02,9.194530137995780006e-01,1.111278861487118741e+00,3.395529215398565892e+00,1.176432232701391856e+00,3.241279751241702201e+00
1.076388888888888881e-02,3.875000000000000000e+00,9.634768067718856022e-02,9.168565276478040094e-01,9.552964049462228657e-02,9.205746954996505416e-01,1.114283274176972149e+00,3.375075735657046216e+00,1.179875513321769320e+00,3.219603387270681960e+00
1.111111111111111154e-02,4.000000000000000000e+00,9.673510919938627106e-02,9.180248620040839524e-01,9.593991995417899821e-02,9.216888470866356764e-01,1.117308498444379516e+00,3.354511838106689847e+00,1.183337249681026160e+00,3.197906299856218215e+00
1.145833333333333426e-02,4.125000000000000000e+00,9.712359178785197333e-02,9.191860370954644255e-01,9.635140460964847220e-02,9.227954613648932103e-01,1.120354728164924651e+00,3.333838539923478450e+00,1.186817441779161264e+00,3.176188488998319404e+00
1.180555555555555525e-02,4.250000000000000000e+00,9.751313576975211006e-02,9.203400151131743145e-01,9.676410086927317300e-02,9.238945311387821713e-01,1.123422156843591369e+00,3.313056864959402770e+00,1.190316089616172635e+00,3.154449954696994407e+00
1.215277777777777797e-02,4.375000000000000000e+00,9.790374853937028332e-02,9.214867586050949910e-01,9.717801514129607854e-02,9.249860492126636968e-01,1.126510977562696691e+00,3.292167843665786187e+00,1.193833193192063824e+00,3.132690696952225462e+00
1.250000000000000069e-02,4.500000000000000000e+00,9.829543755795136506e-02,9.226262304780379342e-01,9.759315383395958388e-02,9.260700083908965929e-01,1.129621382929262285e+00,3.271172513016207262e+00,1.197368752506831280e+00,3.110910715764029888e+00
1.284722222222222342e-02,4.625000000000000000e+00,9.868821035352767779e-02,9.237583939999963745e-01,9.800952335550668082e-02,9.271464014778418861e-01,1.132753565021848541e+00,3.250071916428988850e+00,1.200922767560478555e+00,3.089110011132390365e+00
1.319444444444444441e-02,4.750000000000000000e+00,9.908207452072620436e-02,9.248832128023680710e-01,9.842713011417981994e-02,9.282152212778589373e-01,1.135907715336860635e+00,3.228867103689312401e+00,1.204495238353003650e+00,3.067288583057316220e+00
1.354166666666666713e-02,4.875000000000000000e+00,9.947703772055634108e-02,9.260006508821548854e-01,9.884598051822152120e-02,9.292764605953072188e-01,1.139084024734340117e+00,3.207559130870910380e+00,1.208086164884405900e+00,3.045446431538815446e+00
1.388888888888888985e-02,5.000000000000000000e+00,9.987310768018016482e-02,9.271106726041306034e-01,9.926608097587480417e-02,9.303301122345474239e-01,1.142282683383255781e+00,3.186149060257377208e+00,1.211695547154686636e+00,3.023583556576870723e+00
1.423611111111111084e-02,5.125000000000000000e+00,1.002702921926628410e-01,9.282132427029838873e-01,9.968743789538216105e-02,9.313761689999391358e-01,1.145503880706299382e+00,3.164637960263081862e+00,1.215323385163846304e+00,3.001699958171490490e+00
1.458333333333333356e-02,5.250000000000000000e+00,1.006685991167034500e-01,9.293083262854343607e-01,1.001100576849860979e-01,9.324146236958418266e-01,1.148747805324211724e+00,3.143026905353707434e+00,1.218969678911882015e+00,2.979795636322684960e+00
1.493055555555555629e-02,5.375000000000000000e+00,1.010680363763474254e-01,9.303958888323180521e-01,1.005339467529296205e-01,9.334454691266163007e-01,1.152014644999646897e+00,3.121316975966392349e+00,1.222634428398797546e+00,2.957870591030434593e+00
1.527777777777777901e-02,5.500000000000000000e+00,1.014686119606775377e-01,9.314758962006487453e-01,1.009591115074551793e-01,9.344686980966221412e-01,1.155304586580585102e+00,3.099509258429514524e+00,1.226317633624590897e+00,2.935924822294749603e+00
1.562500000000000000e-02,5.625000000000000000e+00,1.018703339234883765e-01,9.325483146256487998e-01,1.013855583568053220e-01,9.354843034102185984e-01,1.158617815943311369e+00,3.077604844882091850e+00,1.230019294589260959e+00,2.913958330115637985e+00
1.597222222222222446e-02,5.750000000000000888e+00,1.022732103829373795e-01,9.336131107227512160e-01,1.018132937092229989e-01,9.364922778717668095e-01,1.161954517934975284e+00,3.055604833192819836e+00,1.233739411292810395e+00,2.891971114493082418e+00
1.631944444444444545e-02,5.875000000000000000e+00,1.026772495211779046e-01,9.346702514895774971e-01,1.022423239729507716e-01,9.374926142856259137e-01,1.165314876315747483e+00,3.033510326878750885e+00,1.237477983735238096e+00,2.869963175427092228e+00
1.666666666666666644e-02,6.000000000000000000e+00,1.030824595839718444e-01,9.357197043078839815e-01,1.026726555562310766e-01,9.384853054561553831e-01,1.168699073700581348e+00,3.011322435023606747e+00,1.241235011916542064e+00,2.847934512917674965e+00
1.701388888888889089e-02,6.125000000000000888e+00,1.034888488802821471e-01,9.367614369454790868e-01,1.031042948673069615e-01,9.394703441877161332e-01,1.172107291500599446e+00,2.989042272195750805e+00,1.245010495836725628e+00,2.825885126964814642e+00
1.736111111111111188e-02,6.250000000000000000e+00,1.038964257818435488e-01,9.377954175581149077e-01,1.035372483144209460e-01,9.404477232846678580e-01,1.175539709864117599e+00,2.966670958365801525e+00,1.248804435495787679e+00,2.803815017568518364e+00
1.770833333333333287e-02,6.375000000000000000e+00,1.043051987227149868e-01,9.388216146913482829e-01,1.039715223058154253e-01,9.414174355513698078e-01,1.178996507617328993e+00,2.944209618823909302e+00,1.252616830893725552e+00,2.781724184728796789e+00
1.805555555555555733e-02,6.500000000000000888e+00,1.047151761988095869e-01,9.398399972823725523e-01,1.044071232497335161e-01,9.423794737921826759e-01,1.182477862204646346e+00,2.921659384096688683e+00,1.256447682030543467e+00,2.759612628445629934e+00
1.840277777777777832e-02,6.625000000000000000e+00,1.051263667674042085e-01,9.408505346618234455e-01,1.048440575544176828e-01,9.433338308114660453e-01,1.185983949628741208e+00,2.899021389863819298e+00,1.260296988906239202e+00,2.737480348719028900e+00
1.874999999999999931e-02,6.750000000000000000e+00,1.055387790466292969e-01,9.418531965555508867e-01,1.052823316281103483e-01,9.442804994135797214e-01,1.189514944390273499e+00,2.876296776874320393e+00,1.264164751520811425e+00,2.715327345549001681e+00
1.909722222222222376e-02,6.875000000000000888e+00,1.059524217149355463e-01,9.428479530863674851e-01,1.057219518790546292e-01,9.452194724028839534e-01,1.193071019427341728e+00,2.853486690862490072e+00,1.268050969874263467e+00,2.693153618935530069e+00
1.944444444444444475e-02,7.000000000000000000e+00,1.063673035105425213e-01,9.438347747757622752e-01,1.061629247154929623e-01,9.461507425837385465e-01,1.196652346054667637e+00,2.830592282463535003e+00,1.271955643966593330e+00,2.670959168878623391e+00
1.979166666666666574e-02,7.125000000000000000e+00,1.067834332308623402e-01,9.448136325455904760e-01,1.066052565456677981e-01,9.470743027605028619e-01,1.200259093902525054e+00,2.807614707128876397e+00,1.275878773797799903e+00,2.648743995378290528e+00
2.013888888888889020e-02,7.250000000000000888e+00,1.072008197319060524e-01,9.457844977197283898e-01,1.070489537778222255e-01,9.479901457375378149e-01,1.203891430855434486e+00,2.784555125041145995e+00,1.279820359367885629e+00,2.626508098434513272e+00
2.048611111111111119e-02,7.375000000000000000e+00,1.076194719276651890e-01,9.467473420257027650e-01,1.074940228201985565e-01,9.488982643192021005e-01,1.207549522990641888e+00,2.761414701028876095e+00,1.283780400676848288e+00,2.604251478047310719e+00
2.083333333333333565e-02,7.500000000000000888e+00,1.080393987894753965e-01,9.477021375962895178e-01,1.079404700810397827e-01,9.497986513098569672e-01,1.211233534516390487e+00,2.738194604480885808e+00,1.287758897724690321e+00,2.581974134216662886e+00
2.118055555555555663e-02,7.625000000000000000e+00,1.084606093453540920e-01,9.486488569710809227e-01,1.083883019685883964e-01,9.506912995138617761e-01,1.214943627710011853e+00,2.714896009260373777e+00,1.291755850511410397e+00,2.559676066942580430e+00
2.152777777777777762e-02,7.750000000000000000e+00,1.088831126793226439e-01,9.495874730980252698e-01,1.088375248910868759e-01,9.515762017355758884e-01,1.218679962855847343e+00,2.691520093618707588e+00,1.295771259037007184e+00,2.537357276225072678e+00
2.187500000000000208e-02,7.875000000000000888e+00,1.093069179306999650e-01,9.505179593349354361e-01,1.092881452567782546e-01,9.524533507793603304e-01,1.222442698183012766e+00,2.668068040108934724e+00,1.299805123301483345e+00,2.515017762064119644e+00
2.222222222222222307e-02,8.000000000000000000e+00,1.097320342933808118e-01,9.514402894509670361e-01,1.097401694739050110e-01,9.533227394495741303e-01,1.226231989803041156e+00,2.644541035499000881e+00,1.303857443304837993e+00,2.492657524459731988e+00
2.256944444444444406e-02,8.125000000000000000e+00,1.101584710150886187e-01,9.523544376280669299e-01,1.101936039507096371e-01,9.541843605505769821e-01,1.230047991647391425e+00,2.620940270684696038e+00,1.307928219047068463e+00,2.470276563411918591e+00
2.291666666666666852e-02,8.250000000000000000e+00,1.105862373966070428e-01,9.532603784623916443e-01,1.106484550954351942e-01,9.550382068867300234e-01,1.233890855404877973e+00,2.597266940602319885e+00,1.312017450528178530e+00,2.447874878920660358e+00
2.326388888888888951e-02,8.375000000000000000e+00,1.110153427909918028e-01,9.541580869656947073e-01,1.111047293163241606e-01,9.558842712623922822e-01,1.237760730458997038e+00,2.573522244141075888e+00,1.316125137748166862e+00,2.425452470985967057e+00
2.361111111111111049e-02,8.500000000000000000e+00,1.114457966027584818e-01,9.550475385666850059e-01,1.115624330216189314e-01,9.567225464819234526e-01,1.241657763825205540e+00,2.549707384055207360e+00,1.320251280707031905e+00,2.403009339607848016e+00
2.395833333333333495e-02,8.625000000000000000e+00,1.118776082870487770e-01,9.559287091123518376e-01,1.120215726195626232e-01,9.575530253496841171e-01,1.245582100088145516e+00,2.525823566875857740e+00,1.324395879404776544e+00,2.380545484786284582e+00
2.430555555555555594e-02,8.750000000000000000e+00,1.123107873487770719e-01,9.568015748692617617e-01,1.124821545183977006e-01,9.583757006700341918e-01,1.249533881338838581e+00,2.501872002822691954e+00,1.328558933841399003e+00,2.358060906521286970e+00
2.465277777777778040e-02,8.875000000000001776e+00,1.127453433417527628e-01,9.576661125248242534e-01,1.129441851263666696e-01,9.591905652473327049e-01,1.253513247111877726e+00,2.477853905715249105e+00,1.332740444016897730e+00,2.335555604812861841e+00
2.500000000000000139e-02,9.000000000000000000e+00,1.131812858677814643e-01,9.585222991885269384e-01,1.134076708517124804e-01,9.599976118859406826e-01,1.257520334322613342e+00,2.453770492884058463e+00,1.336940409931276275e+00,2.313029579660993207e+00
2.534722222222222238e-02,9.125000000000000000e+00,1.136186245757455776e-01,9.593701123931368535e-01,1.138726181026777085e-01,9.607968333902174862e-01,1.261555277204380543e+00,2.429622985081507647e+00,1.341158831584532862e+00,2.290482831065689506e+00
2.569444444444444683e-02,9.250000000000000000e+00,1.140573691606611290e-01,9.602095300958758406e-01,1.143390332875048182e-01,9.615882225645228099e-01,1.265618207245754911e+00,2.405412606392469232e+00,1.345395708976666160e+00,2.267915359026959621e+00
2.604166666666666782e-02,9.375000000000000000e+00,1.144975293627146784e-01,9.610405306795598568e-01,1.148069228144367876e-01,9.623717722132172359e-01,1.269709253127879744e+00,2.381140584144705308e+00,1.349651042107678611e+00,2.245327163544785343e+00
2.638888888888888881e-02,9.500000000000000000e+00,1.149391149662763595e-01,9.618630929537103080e-01,1.152762930917161782e-01,9.631474751406601253e-01,1.273828540661872566e+00,2.356808148819030002e+00,1.353924830977569549e+00,2.222718244619175998e+00
