motor_time_fraction,motor_angle_deg,source16_aligned_small,source16_aligned_large,structured15_small,structured15_large,source16_aligned_dsmall_dt,source16_aligned_dlarge_dt,structured15_dsmall_dt,structured15_dlarge_dt,source16_aligned_ddsmall_dt2,source16_aligned_ddlarge_dt2,structured15_ddsmall_dt2,structured15_ddlarge_dt2
0.000000000000000000e+00,0.000000000000000000e+00,1.444918440414582339e-01,9.999997061094492157e-01,1.539659735388667072e-01,1.000000000000000000e+00,2.040037211688822349e+00,-1.035663951228611192e-02,2.073782510569033732e+00,-0.000000000000000000e+00,5.902350914317881170e+00,-1.823858922469675576e+02,4.942102970820077878e+00,-6.581539744775157885e+01
3.472222222222222355e-04,1.250000000000000000e-01,1.452005444496017317e-01,9.999851513044708540e-01,1.546863336315150717e-01,9.999960413876056720e-01,2.042072389280946254e+00,-7.337601858436348934e-02,2.075488177685184787e+00,-2.277615110694111017e-02,5.820272016315527708e+00,-1.806057312081510702e+02,4.882566447195351600e+00,-6.537551280523457820e+01
6.944444444444444709e-04,2.500000000000000000e-01,1.459099465687808961e-01,9.999488220816675765e-01,1.554072823839670603e-01,9.999842008726479436e-01,2.044079067255707649e+00,-1.357772861846056056e-01,2.077173200362686156e+00,-4.539985585972528687e-02,5.738193118313207997e+00,-1.788255701693352080e+02,4.823191057557532524e+00,-6.493730595933662642e+01
1.041666666666666652e-03,3.750000000000000000e-01,1.466200405032957454e-01,9.998909330630779690e-01,1.561288126377348151e-01,9.999645312868074010e-01,2.046057245613107867e+00,-1.975604423130612464e-01,2.078837634606419904e+00,-6.787169631779904622e-02,5.656114220310854535e+00,-1.770454091305186353e+02,4.763977122047128532e+00,-6.450077397923143963e+01
1.388888888888888942e-03,5.000000000000000000e-01,1.473308163574455765e-01,9.998116988707406172e-01,1.568509172537956020e-01,9.999370852598369330e-01,2.048006924353146463e+00,-2.587254869697049875e-01,2.080481536532425846e+00,-9.019225352296081355e-02,5.574035322308501961e+00,-1.752652480917020625e+02,4.704924960804712342e+00,-6.406591393409264867e+01
1.736111111111111232e-03,6.250000000000000000e-01,1.480422642355299356e-01,9.997113341266952169e-01,1.575735891126306687e-01,9.999019152199157823e-01,2.049928103475822994e+00,-3.192724201545384388e-01,2.082104962367905543e+00,-1.123621074993610830e-01,5.491956424306148499e+00,-1.734850870528855182e+02,4.646034893970837132e+00,-6.363272289309396967e+01
2.083333333333333304e-03,7.500000000000000000e-01,1.487543742418480086e-01,9.995900534529797987e-01,1.582968211142642967e-01,9.998590733940027064e-01,2.051820782981136126e+00,-3.792012418675350105e-01,2.083707968451219195e+00,-1.343818372535021954e-01,5.409877526303828787e+00,-1.717049260140696845e+02,4.587307241686030324e+00,-6.320119792540902637e+01
2.430555555555555594e-03,8.750000000000000000e-01,1.494671364806999247e-01,9.994480714716333924e-01,1.590206061783020763e-01,9.998086118081888074e-01,2.053684962869088970e+00,-4.385119521087454397e-01,2.085290611231887414e+00,-1.562520207742385814e-01,5.327798628301474437e+00,-1.699247649752531117e+02,4.528742324090814897e+00,-6.277133610021157040e+01
2.777777777777777884e-03,1.000000000000000000e+00,1.501805410563846477e-01,9.992856028046951389e-01,1.597449372439688209e-01,9.997505822880515813e-01,2.055520643139678860e+00,-4.972045508781202661e-01,2.086852947270590786e+00,-1.779732350327766222e-01,5.245719730299155614e+00,-1.681446039364373348e+02,4.470340461325750248e+00,-6.234313448667521129e+01
3.125000000000000173e-03,1.125000000000000000e+00,1.508945780732022235e-01,9.991028620742030686e-01,1.604698072701480904e-01,9.996850364590079696e-01,2.057327823792907573e+00,-5.552790381757082283e-01,2.088395033239170306e+00,-1.995460559826744973e-01,5.163640832296802152e+00,-1.663644428976207337e+02,4.412101973531396659e+00,-6.191659015397366517e+01
