motor_time_fraction,motor_angle_deg,source_small,source_large,fit_small,fit_large,source_dsmall_dt,source_dlarge_dt,fit_dsmall_dt,fit_dlarge_dt,source_ddsmall_dt2,source_ddlarge_dt2,fit_ddsmall_dt2,fit_ddlarge_dt2
0.000000000000000000e+00,0.000000000000000000e+00,1.444918440414582339e-01,9.999997061094492157e-01,1.484126153256672132e-01,1.000000000000000000e+00,2.040037211688822349e+00,-1.035663951228611192e-02,2.057870833071025363e+00,-0.000000000000000000e+00,5.902350914317881170e+00,-1.823858922469675576e+02,5.698659623635404792e+00,-8.775074490293732765e+01
1.736111111111111177e-04,6.250000000000000000e-02,1.448461059131692374e-01,9.999951639230655331e-01,1.487699702959783821e-01,9.999986791688214582e-01,2.041058362937054227e+00,-4.194359298230182498e-02,2.058857545757612595e+00,-1.520671513563038452e-02,5.861311465316704883e+00,-1.814958117275592997e+02,5.668276018482409917e+00,-8.743071788625469765e+01
3.472222222222222355e-04,1.250000000000000000e-01,1.452005444496017317e-01,9.999851513044708540e-01,1.491274961128474796e-01,9.999947231027231931e-01,2.042072389280946254e+00,-7.337601858436348934e-02,2.059838986375082115e+00,-3.035792439842352822e-02,5.820272016315527708e+00,-1.806057312081510702e+02,5.637925396532875943e+00,-8.711131715680249954e+01
5.208333333333333261e-04,1.875000000000000000e-01,1.455551584137929622e-01,9.999696950814199736e-01,1.494851918614826802e-01,9.999881414287055126e-01,2.043079290720496655e+00,-1.046539163184481702e-01,2.060815160654441147e+00,-4.545373647137961742e-02,5.779232567314385172e+00,-1.797156506887434659e+02,5.607607812575150064e+00,-8.679254216828199731e+01
6.944444444444444709e-04,2.500000000000000000e-01,1.459099465687808961e-01,9.999488220816675765e-01,1.498430566280864462e-01,9.999789437549089222e-01,2.044079067255707649e+00,-1.357772861846056056e-01,2.061786074336206198e+00,-6.049425994265530959e-02,5.738193118313207997e+00,-1.788255701693352080e+02,5.577323321397718026e+00,-8.647439237439454018e+01
8.680555555555556158e-04,3.125000000000000000e-01,1.462649076776026957e-01,9.999225591329685692e-01,1.502010894998603574e-01,9.999671396706296678e-01,2.045071718886577905e+00,-1.667461281828098163e-01,2.062751733170409718e+00,-7.547960330556371944e-02,5.697153669312031710e+00,-1.779354896499269216e+02,5.547071977788919916e+00,-8.615686722884139215e+01
1.041666666666666652e-03,3.750000000000000000e-01,1.466200405032957454e-01,9.998909330630779690e-01,1.505592895650040286e-01,9.999527387463367223e-01,2.046057245613107867e+00,-1.975604423130612464e-01,2.063712142916593439e+00,-9.040987495857449874e-02,5.656114220310854535e+00,-1.770454091305186353e+02,5.516853836537188194e+00,-8.583996618532387402e+01
1.215277777777777797e-03,4.375000000000000000e-01,1.469753438088975683e-01,9.998539706997502385e-01,1.509176559127178574e-01,9.999357505336882168e-01,2.047035647435297534e+00,-2.282202285753590632e-01,2.064667309343810597e+00,-1.052851832053137426e-01,5.615074771309677359e+00,-1.761553286111103489e+02,5.486668952430941104e+00,-8.552368869754327818e+01
1.388888888888888942e-03,5.000000000000000000e-01,1.473308163574455765e-01,9.998116988707406172e-01,1.512761876332054944e-01,9.999161845655475389e-01,2.048006924353146463e+00,-2.587254869697049875e-01,2.065617238230628594e+00,-1.201056362545639966e-01,5.574035322308501961e+00,-1.752652480917020625e+02,5.456517380258555150e+00,-8.520803421920092546e+01
1.562500000000000087e-03,5.625000000000000000e-01,1.476864569119772375e-01,9.997641444038039005e-01,1.516348838176735103e-01,9.998940503560003190e-01,2.048971076366654653e+00,-2.890762174960980757e-01,2.066561935365122782e+00,-1.348713422202642842e-01,5.532995873307324786e+00,-1.743751675722938046e+02,5.426399174808441472e+00,-8.489300220399809405e+01
1.736111111111111232e-03,6.250000000000000000e-01,1.480422642355299356e-01,9.997113341266952169e-01,1.519937435583346985e-01,9.998693574003704176e-01,2.049928103475822994e+00,-3.192724201545384388e-01,2.067501406544884901e+00,-1.495824091215101070e-01,5.491956424306148499e+00,-1.734850870528855182e+02,5.396314390869036970e+00,-8.457859210563613317e+01
1.909722222222222376e-03,6.875000000000000000e-01,1.483982370911408333e-01,9.996532948671688068e-01,1.523527659484097962e-01,9.998421151752369118e-01,2.050878005680649263e+00,-3.493140949450001531e-01,2.068435657577016418e+00,-1.642389448825535558e-01,5.450916975305004186e+00,-1.725950065334779993e+02,5.366263083228682618e+00,-8.426480337781627838e+01
2.083333333333333304e-03,7.500000000000000000e-01,1.487543742418480086e-01,9.995900534529797987e-01,1.527119500821271236e-01,9.998123331384498602e-01,2.051820782981136126e+00,-3.792012418675350105e-01,2.069364694278129413e+00,-1.788410573328030329e-01,5.409877526303828787e+00,-1.717049260140696845e+02,5.336245306675868605e+00,-8.395163547423989314e+01
2.256944444444444666e-03,8.125000000000001110e-01,1.491106744506885406e-01,9.995216367118830991e-01,1.530712950547270801e-01,9.997800207291475116e-01,2.052756435377282695e+00,-4.089338609221166432e-01,2.070288522474350135e+00,-1.933888542068234462e-01,5.368838077302651612e+00,-1.708148454946613981e+02,5.306261115998933242e+00,-8.363908784860821299e+01
