motor_time_fraction,motor_angle_deg,source16_aligned_small,source16_aligned_large,hybrid_small,hybrid_large,source16_aligned_dsmall_dt,source16_aligned_dlarge_dt,hybrid_dsmall_dt,hybrid_dlarge_dt
0.000000000000000000e+00,0.000000000000000000e+00,1.444918440414582339e-01,9.999997061094492157e-01,1.820623837068669204e-01,1.000000000000000000e+00,2.040037211688822349e+00,-1.035663951228611192e-02,2.002260039282503623e+00,-0.000000000000000000e+00
3.472222222222222355e-04,1.250000000000000000e-01,1.452005444496017317e-01,9.999851513044708540e-01,1.827576128871733485e-01,9.999999694394458016e-01,2.042072389280946254e+00,-7.337601858436348934e-02,2.002260039282503623e+00,-2.637447103217060236e-04
6.944444444444444709e-04,2.500000000000000000e-01,1.459099465687808961e-01,9.999488220816675765e-01,1.834528420674797489e-01,9.999997563446726412e-01,2.044079067255707649e+00,-1.357772861846056056e-01,2.002260039282503623e+00,-1.050203186264242515e-03
1.041666666666666652e-03,3.750000000000000000e-01,1.466200405032957454e-01,9.998909330630779690e-01,1.841480712477861770e-01,9.999991804615057100e-01,2.046057245613107867e+00,-1.975604423130612464e-01,2.002260039282503623e+00,-2.352211945293736835e-03
1.388888888888888942e-03,5.000000000000000000e-01,1.473308163574455765e-01,9.998116988707406172e-01,1.848433004280926328e-01,9.999980640230903273e-01,2.048006924353146463e+00,-2.587254869697049875e-01,2.002260039282503623e+00,-4.162607504876319163e-03
1.736111111111111232e-03,6.250000000000000000e-01,1.480422642355299356e-01,9.997113341266952169e-01,1.855385296083990332e-01,9.999962317498914954e-01,2.049928103475822994e+00,-3.192724201545384388e-01,2.002260039282503623e+00,-6.474226382478115611e-03
2.083333333333333304e-03,7.500000000000000000e-01,1.487543742418480086e-01,9.995900534529797987e-01,1.862337587887054335e-01,9.999935108496955660e-01,2.051820782981136126e+00,-3.792012418675350105e-01,2.002260039282503623e+00,-9.279905095565248174e-03
2.430555555555555594e-03,8.750000000000000000e-01,1.494671364806999247e-01,9.994480714716333924e-01,1.869289879690118894e-01,9.999897310176084630e-01,2.053684962869088970e+00,-4.385119521087454397e-01,2.002260039282503623e+00,-1.257248016160385229e-02
2.777777777777777884e-03,1.000000000000000000e+00,1.501805410563846477e-01,9.992856028046951389e-01,1.876242171493183175e-01,9.999847244360567933e-01,2.055520643139678860e+00,-4.972045508781202661e-01,2.002260039282503623e+00,-1.634478809806005559e-02
3.125000000000000173e-03,1.125000000000000000e+00,1.508945780732022235e-01,9.991028620742030686e-01,1.883194463296247179e-01,9.999783257747870691e-01,2.057327823792907573e+00,-5.552790381757082283e-01,2.002260039282503623e+00,-2.058966542239997963e-02
