motor_time_fraction,motor_angle_deg,source16_small,source16_large,mobile7_small,mobile7_large,source16_dsmall_dt,source16_dlarge_dt,mobile7_dsmall_dt,mobile7_dlarge_dt
0.000000000000000000e+00,0.000000000000000000e+00,1.679741504021792786e-01,9.893793721445750533e-01,2.420607455285925524e-01,9.404947111272047300e-01,2.091811071223600216e+00,-1.750524135956655236e+00,1.891443488299433540e+00,-2.853522240519009934e+00
3.472222222222222355e-04,1.250000000000000000e-01,1.687006660733738339e-01,9.887641010817566078e-01,2.427175726329740824e-01,9.395014174063708312e-01,2.092914444919945272e+00,-1.793334167298028081e+00,1.891879809573632665e+00,-2.867807404212122435e+00
6.944444444444444709e-04,2.500000000000000000e-01,1.694275599125848464e-01,9.881340727357423859e-01,2.433745503801269250e-01,9.385032075043288069e-01,2.093989318998929150e+00,-1.835526087167572262e+00,1.892311190663759968e+00,-2.881839444277812579e+00
1.041666666666666652e-03,3.750000000000000000e-01,1.701548220241116960e-01,9.874895017285700849e-01,2.440316770547099612e-01,9.375001693112274825e-01,2.095035693460550075e+00,-1.877099895565322196e+00,1.892737631569817447e+00,-2.895618360716076811e+00
1.388888888888888942e-03,5.000000000000000000e-01,1.708824425122544566e-01,9.868306026822791788e-01,2.446889509413809061e-01,9.364923907172145734e-01,2.096053568304809822e+00,-1.918055592491260786e+00,1.893159132291803992e+00,-2.909144153526923127e+00
1.736111111111111232e-03,6.250000000000000000e-01,1.716104114813123416e-01,9.861575902189084752e-01,2.453463703247986127e-01,9.354799596124385719e-01,2.097042943531707948e+00,-1.958393177945372043e+00,1.893575692829719603e+00,-2.922416822710347972e+00
2.083333333333333304e-03,7.500000000000000000e-01,1.723387190355845644e-01,9.854706789604967820e-01,2.460039334896211571e-01,9.344629638870484145e-01,2.098003819141243120e+00,-1.998112651927688166e+00,1.893987313183564503e+00,-2.935436368266346907e+00
2.430555555555555594e-03,8.750000000000000000e-01,1.730673552793712544e-01,9.847700835290825738e-01,2.466616387205065319e-01,9.334414914311922606e-01,2.098936195133417559e+00,-2.037214014438192500e+00,1.894393993353338246e+00,-2.948202790194928813e+00
2.777777777777777884e-03,1.000000000000000000e+00,1.737963103169716805e-01,9.840560185467055465e-01,2.473194843021136458e-01,9.324156301350180476e-01,2.099840071508229045e+00,-2.075697265476869724e+00,1.894795733339041943e+00,-2.960716088496087917e+00
3.125000000000000173e-03,1.125000000000000000e+00,1.745255742526850562e-01,9.833286986354036197e-01,2.479774685191004913e-01,9.313854678886749339e-01,2.100715448265678909e+00,-2.113562405043752701e+00,1.895192533140674485e+00,-2.972976263169821554e+00
3.472222222222222463e-03,1.250000000000000000e+00,1.752551371908114830e-01,9.825883384172158230e-01,2.486355896561251166e-01,9.303510925823106348e-01,2.101562325405766707e+00,-2.150809433138823668e+00,1.895584392758236314e+00,-2.984983314216138162e+00
3.819444444444444753e-03,1.375000000000000000e+00,1.759849892356502021e-01,9.818351525141811864e-01,2.492938459978464028e-01,9.293125921060745309e-01,2.102380702928492884e+00,-2.187438349762068412e+00,1.895971312191727653e+00,-2.996737241635027971e+00
4.166666666666666609e-03,1.500000000000000000e+00,1.767151204915004548e-01,9.810693555483384065e-01,2.499522358289223145e-01,9.282700543501137824e-01,2.103170580833856551e+00,-2.223449154913516690e+00,1.896353291441147615e+00,-3.008238045426499863e+00
4.513888888888889332e-03,1.625000000000000222e+00,1.774455210626623702e-01,9.802911621417261800e-01,2.506107574340110666e-01,9.272235672045774368e-01,2.103931959121859485e+00,-2.258841848593152957e+00,1.896730330506497086e+00,-3.019485725590551617e+00
4.861111111111111188e-03,1.750000000000000000e+00,1.781761810534351620e-01,9.795007869163838699e-01,2.512694090977712347e-01,9.261732185596145417e-01,2.104664837792499466e+00,-2.293616430800964778e+00,1.897102429387775846e+00,-3.030480282127176572e+00
5.208333333333333912e-03,1.875000000000000222e+00,1.789070905681180434e-01,9.786984444943496175e-01,2.519281891048610333e-01,9.251190963053720351e-01,2.105369216845777824e+00,-2.327772901536979244e+00,1.897469588084984116e+00,-3.041221715036383166e+00
5.555555555555555768e-03,2.000000000000000000e+00,1.796382397110111717e-01,9.778843494976625639e-01,2.525870957399384831e-01,9.240612883319995197e-01,2.106045096281694562e+00,-2.361311260801181700e+00,1.897831806598121451e+00,-3.051710024318169179e+00
5.902777777777777624e-03,2.125000000000000000e+00,1.803696185864133994e-01,9.770587165483619607e-01,2.532461272876623815e-01,9.229998825296452658e-01,2.106692476100248790e+00,-2.394231508593560598e+00,1.898189084927188075e+00,-3.061945209972528392e+00
6.250000000000000347e-03,2.250000000000000000e+00,1.811012172986249391e-01,9.762217602684857276e-01,2.539052820326908599e-01,9.219349667884570998e-01,2.107311356301441840e+00,-2.426533644914140808e+00,1.898541423072183543e+00,-3.071927271999470577e+00
6.597222222222222203e-03,2.375000000000000000e+00,1.818330259519450320e-01,9.753736952800731164e-01,2.545645582596818834e-01,9.208666289985835141e-01,2.107901736885272381e+00,-2.458217669762909452e+00,1.898888821033108520e+00,-3.081656210398990847e+00
6.944444444444444926e-03,2.500000000000000000e+00,1.825650346506727806e-01,9.745147362051633788e-01,2.552239542532943606e-01,9.197949570501738892e-01,2.108463617851740857e+00,-2.489283583139855427e+00,1.899231278809963230e+00,-3.091132025171085651e+00
7.291666666666666782e-03,2.625000000000000000e+00,1.832972334991084529e-01,9.736450976657947676e-01,2.558834682981862008e-01,9.187200388333754963e-01,2.108996999200847711e+00,-2.519731385045001826e+00,1.899568796402746784e+00,-3.100354716315762538e+00
7.638888888888889506e-03,2.750000000000000000e+00,1.840296126015512068e-01,9.727649942840059794e-01,2.565430986790155909e-01,9.176419622383371610e-01,2.109501880932592499e+00,-2.549561075478336658e+00,1.899901373811458960e+00,-3.109324283833017066e+00
7.986111111111112229e-03,2.875000000000000444e+00,1.847621620623002836e-01,9.718746406818365990e-01,2.572028436804413287e-01,9.165608151552077087e-01,2.109978263046975222e+00,-2.578772654439848822e+00,1.900229011036101312e+00,-3.118040727722847016e+00
8.333333333333333218e-03,3.000000000000000000e+00,1.854948719856558403e-01,9.709742514813246572e-01,2.578627015871213790e-01,9.154766854741347437e-01,2.110426145543996768e+00,-2.607366121929561409e+00,1.900551708076672508e+00,-3.126504047985258605e+00
8.680555555555555941e-03,3.125000000000000000e+00,1.862277324759170349e-01,9.700640413045096278e-01,2.585226706837139288e-01,9.143896610852672024e-01,2.110845528423656248e+00,-2.635341477947451327e+00,1.900869464933172992e+00,-3.134714244620247392e+00
9.027777777777778664e-03,3.250000000000000444e+00,1.869607336373831086e-01,9.691442247734297633e-01,2.591827492548776646e-01,9.132998298787535774e-01,2.111236411685953218e+00,-2.662698722493541226e+00,1.901182281605602764e+00,-3.142671317627811600e+00
9.374999999999999653e-03,3.375000000000000000e+00,1.876938655743542184e-01,9.682150165101242045e-01,2.598429355852704958e-01,9.122072797447419168e-01,2.111598795330888567e+00,-2.689437855567820002e+00,1.901490158093961380e+00,-3.150375267007957447e+00
9.722222222222222376e-03,3.500000000000000000e+00,1.884271183911296055e-01,9.672766311366319814e-01,2.605032279595511646e-01,9.111120985733806021e-01,2.111932679358461407e+00,-2.715558877170276553e+00,1.901793094398249950e+00,-3.157826092760681824e+00
1.006944444444444510e-02,3.625000000000000444e+00,1.891604821920084556e-01,9.663292832749912353e-01,2.611636246623777469e-01,9.100143742548189030e-01,2.112238063768673069e+00,-2.741061787300932640e+00,1.902091090518467142e+00,-3.165023794885981623e+00
1.041666666666666782e-02,3.750000000000000444e+00,1.898939470812909258e-01,9.653731875472412183e-01,2.618241239784085961e-01,9.089141946792038684e-01,2.112514948561522665e+00,-2.765946585959777604e+00,1.902384146454614067e+00,-3.171968373383861728e+00
1.076388888888888881e-02,3.875000000000000000e+00,1.906275031632762296e-01,9.644085585754209600e-01,2.624847241923016772e-01,9.078116477366846571e-01,2.112763333737010640e+00,-2.790213273146801232e+00,1.902672262206689613e+00,-3.178659828254320807e+00
1.111111111111111154e-02,4.000000000000000000e+00,1.913611405422636358e-01,9.634356109815688241e-01,2.631454235887159543e-01,9.067068213174103164e-01,2.112983219295135662e+00,-2.813861848862023507e+00,1.902955437774695335e+00,-3.185098159497355308e+00
1.145833333333333426e-02,4.125000000000000000e+00,1.920948493225531628e-01,9.624545593877239513e-01,2.638062204523090593e-01,9.055998033115277845e-01,2.113174605235899950e+00,-2.836892313105434660e+00,1.903233673158629236e+00,-3.191283367112970115e+00
1.180555555555555525e-02,4.250000000000000000e+00,1.928286196084441628e-01,9.614656184159253716e-01,2.644671130677399007e-01,9.044906816091869972e-01,2.113337491559301284e+00,-2.859304665877024920e+00,1.903506968358492868e+00,-3.197215451101161232e+00
1.215277777777777797e-02,4.375000000000000000e+00,1.935624415042357938e-01,9.604690026882113374e-01,2.651280997196664990e-01,9.033795441005350035e-01,2.113471878265341442e+00,-2.881098907176812940e+00,1.903775323374286010e+00,-3.202894411461932656e+00
1.250000000000000069e-02,4.500000000000000000e+00,1.942963051142281572e-01,9.594649268266207676e-01,2.657891786927469857e-01,9.022664786757208510e-01,2.113577765354019089e+00,-2.902275037004789837e+00,1.904038738206007775e+00,-3.208320248195283053e+00
1.284722222222222342e-02,4.625000000000000000e+00,1.950302005427205498e-01,9.584536054531933580e-01,2.664503482716399918e-01,9.011515732248929211e-01,2.113655152825335115e+00,-2.922833055360947174e+00,1.904297212853659715e+00,-3.213492961301210205e+00
1.319444444444444441e-02,4.750000000000000000e+00,1.957641178940121851e-01,9.574352531899664731e-01,2.671116067410038153e-01,9.000349156382002613e-01,2.113704040679289520e+00,-2.942772962245301382e+00,1.904550747317240056e+00,-3.218412550779714554e+00
1.354166666666666713e-02,4.875000000000000000e+00,1.964980472724031646e-01,9.564100846589800309e-01,2.677729523854963656e-01,8.989165938057899208e-01,2.113724428915881859e+00,-2.962094757657844468e+00,1.904799341596749906e+00,-3.223079016630799654e+00
1.388888888888888985e-02,5.000000000000000000e+00,1.972319787821923687e-01,9.553783144822728390e-01,2.684343834897764958e-01,8.977966956178116131e-01,2.113716317535112132e+00,-2.980798441598568882e+00,1.905042995692188601e+00,-3.227492358854460175e+00
1.423611111111111084e-02,5.125000000000000000e+00,1.979659025276800377e-01,9.543401572818829282e-01,2.690958983385022263e-01,8.966753089644128316e-01,2.113679706536980341e+00,-2.998884014067489279e+00,1.905281709603557028e+00,-3.231652577450701447e+00
1.458333333333333356e-02,5.250000000000000000e+00,1.986998086131653574e-01,9.532958276798496611e-01,2.697574952163315776e-01,8.955525217357422907e-01,2.113614595921486927e+00,-3.016351475064598553e+00,1.905515483330854520e+00,-3.235559672419519917e+00
1.493055555555555629e-02,5.375000000000000000e+00,1.994336871429474856e-01,9.522455402982121786e-01,2.704191724079235692e-01,8.944284218219489269e-01,2.113520985688631448e+00,-3.033200824589889155e+00,1.905744316874081745e+00,-3.239213643760916472e+00
1.527777777777777901e-02,5.500000000000000000e+00,2.001675282213266627e-01,9.511895097590087333e-01,2.710809281979360552e-01,8.933030971131802334e-01,2.113398875838413904e+00,-3.049432062643375740e+00,1.905968210233237592e+00,-3.242614491474891114e+00
1.562500000000000000e-02,5.625000000000000000e+00,2.009013219526020466e-01,9.501279506842781331e-01,2.717427608710271114e-01,8.921766354995849246e-01,2.113248266370834738e+00,-3.065045189225050759e+00,1.906187163408322727e+00,-3.245762215561445174e+00
1.597222222222222446e-02,5.750000000000000888e+00,2.016350584410728231e-01,9.490610776960599626e-01,2.724046687118555909e-01,8.910491248713120482e-01,2.113069157285893507e+00,-3.080040204334908882e+00,1.906401176399337372e+00,-3.248656816020575544e+00
1.631944444444444545e-02,5.875000000000000000e+00,2.023687277910392046e-01,9.479891054163920305e-01,2.730666500050796253e-01,8.899206531185090974e-01,2.112861548583589766e+00,-3.094417107972961212e+00,1.906610249206281082e+00,-3.251298292852286664e+00
1.666666666666666644e-02,6.000000000000000000e+00,2.031023201068003492e-01,9.469122484673140328e-01,2.737287030353571793e-01,8.887913081313248975e-01,2.112625440263924848e+00,-3.108175900139197090e+00,1.906814381829154081e+00,-3.253686646056574094e+00
1.701388888888889089e-02,6.125000000000000888e+00,2.038358254926555535e-01,9.458307214708639998e-01,2.743908260873469951e-01,8.876611777999083852e-01,2.112360832326897420e+00,-3.121316580833627174e+00,1.907013574267956368e+00,-3.255821875633440055e+00
1.736111111111111188e-02,6.250000000000000000e+00,2.045692340529049191e-01,9.447447390490809616e-01,2.750530174457069821e-01,8.865303500144069426e-01,2.112067724772508814e+00,-3.133839150056245693e+00,1.907207826522688165e+00,-3.257703981582884989e+00
1.770833333333333287e-02,6.375000000000000000e+00,2.053025358940810119e-01,9.436545158240040587e-01,2.757152753950959934e-01,8.853989126649693953e-01,2.111746243482676810e+00,-3.145743607807053532e+00,1.907397138593348362e+00,-3.259332963904908009e+00
1.805555555555555733e-02,6.500000000000000888e+00,2.060357220648976750e-01,9.425602664176725431e-01,2.763775982201720494e-01,8.842669536417447906e-01,2.111403136186491558e+00,-3.157029954086044921e+00,1.907581510479938958e+00,-3.260708822599508228e+00
1.840277777777777832e-02,6.625000000000000000e+00,2.067687860134912181e-01,9.414622054521241123e-01,2.770399842055933370e-01,8.831345608348805110e-01,2.111042243476333180e+00,-3.167698188893229183e+00,1.907760942182457731e+00,-3.261831557666687864e+00
1.874999999999999931e-02,6.750000000000000000e+00,2.075017215643705504e-01,9.403605475493985733e-01,2.777024316360180434e-01,8.820018221345254927e-01,2.110663565352200344e+00,-3.177748312228598770e+00,1.907935433700906236e+00,-3.262701169106444699e+00
