phase_deg,eta,indicated_power_w,heat_input_w,max_mach,combined_shape_rms
0,,-94.0291697801,142.16133565,0.00988563562182,0.427936954451
30,,-346.136904183,450.394962576,0.0198061498323,0.481107696907
60,,-407.069615776,581.935970213,0.031266701168,0.501674069443
90,,-323.208198215,617.774103259,0.0401986322874,0.488211989934
120,,-206.381506137,604.271548214,0.0460865886001,0.441653158388
150,,-98.9017004277,561.905691713,0.0486325622386,0.365235551993
180,,-14.6452586743,499.330181245,0.0477684866181,0.2643696611
210,0.0932450281673,39.1067723719,419.397936174,0.0436094505986,0.146822132772
220,0.125730310396,48.8464850366,388.502063526,0.0416009512209,0.106057493151
225,0.139840039118,52.0566694034,372.258687367,0.0404983033111,0.0859751768761
230,0.152242168037,54.1204635556,355.489311886,0.0400590832068,0.066647110452
235,0.162640413573,55.0049164068,338.199560605,0.0398588064989,0.0492032641602
240,0.170646820478,54.6749144271,320.398084616,0.0395777876309,0.0366671889258
245,0.175751272341,53.0940608964,302.097732717,0.0392148142806,0.0349370090558
250,0.177271976207,50.2240567588,283.316392323,0.038769059735,0.0452795720135
255,0.174261254236,46.0179972527,264.074750606,0.0382386218717,0.0618635899694
260,0.165532250771,40.4580723837,244.412023611,0.0376226590265,0.0808558220502
270,0.123212928112,25.1368131998,204.011166563,0.0361267964561,0.121121457965
300,,-52.6629179894,81.9177320267,0.0293772605267,0.240756811702
330,,-129.843690114,10.5905841407,0.0188045794744,0.345867527033
