motor_time_fraction,motor_angle_deg,source16_aligned_small,source16_aligned_large,power_sigmoid_small,power_sigmoid_large,source16_aligned_dsmall_dt,source16_aligned_dlarge_dt,power_sigmoid_dsmall_dt,power_sigmoid_dlarge_dt
0.000000000000000000e+00,0.000000000000000000e+00,1.444918440414582339e-01,9.999997061094492157e-01,1.161279676385115339e-01,1.000000000000000000e+00,2.040037211688822349e+00,-1.035663951228611192e-02,1.739330142946571733e+00,-0.000000000000000000e+00
3.472222222222222355e-04,1.250000000000000000e-01,1.452005444496017317e-01,9.999851513044708540e-01,1.167328703325393735e-01,9.999997483337490500e-01,2.042072389280946254e+00,-7.337601858436348934e-02,1.744910012921788267e+00,-1.490986753746473140e-03
6.944444444444444709e-04,2.500000000000000000e-01,1.459099465687808961e-01,9.999488220816675765e-01,1.173397111426557615e-01,9.999989522829617616e-01,2.044079067255707649e+00,-1.357772861846056056e-01,1.750493681159836390e+00,-3.105491577796627104e-03
1.041666666666666652e-03,3.750000000000000000e-01,1.466200405032957454e-01,9.998909330630779690e-01,1.179484913767876592e-01,9.999975855988405549e-01,2.046057245613107867e+00,-1.975604423130612464e-01,1.756081084732415531e+00,-4.773885276103106805e-03
1.388888888888888942e-03,5.000000000000000000e-01,1.473308163574455765e-01,9.998116988707406172e-01,1.185592123209477100e-01,9.999956326933607809e-01,2.048006924353146463e+00,-2.587254869697049875e-01,1.761672160340574722e+00,-6.480445522643102016e-03
1.736111111111111232e-03,6.250000000000000000e-01,1.480422642355299356e-01,9.997113341266952169e-01,1.191718752391050795e-01,9.999930817614839373e-01,2.049928103475822994e+00,-3.192724201545384388e-01,1.767266844314820951e+00,-8.217580553105599886e-03
2.083333333333333304e-03,7.500000000000000000e-01,1.487543742418480086e-01,9.995900534529797987e-01,1.197864813730573352e-01,9.999899230293058938e-01,2.051820782981136126e+00,-3.792012418675350105e-01,1.772865072615257498e+00,-9.980777279737479413e-03
2.430555555555555594e-03,8.750000000000000000e-01,1.494671364806999247e-01,9.994480714716333924e-01,1.204030319423018136e-01,9.999861479999546665e-01,2.053684962869088970e+00,-4.385119521087454397e-01,1.778466780831730709e+00,-1.176703751182030244e-02
2.777777777777777884e-03,1.000000000000000000e+00,1.501805410563846477e-01,9.992856028046951389e-01,1.210215281439067092e-01,9.999817490554334665e-01,2.055520643139678860e+00,-4.972045508781202661e-01,1.784071904184000523e+00,-1.357422433875499733e-02
3.125000000000000173e-03,1.125000000000000000e+00,1.508945780732022235e-01,9.991028620742030686e-01,1.216419711523830799e-01,9.999767192196569177e-01,2.057327823792907573e+00,-5.552790381757082283e-01,1.789680377521929655e+00,-1.540073859804876565e-02
3.472222222222222463e-03,1.250000000000000000e+00,1.516092376354516713e-01,9.989000639021969885e-01,1.222643621195560193e-01,9.999710520056239726e-01,2.059106504828773332e+00,-6.127354140014608097e-01,1.795292135325692540e+00,-1.724533985829588417e-02
3.819444444444444753e-03,1.375000000000000000e+00,1.523245098474330650e-01,9.986774229107152623e-01,1.228887021744366342e-01,9.999647413109588046e-01,2.060856686247278358e+00,-6.695736783554265825e-01,1.800907111705997599e+00,-1.910703914058456063e-02
4.166666666666666609e-03,1.500000000000000000e+00,1.530403848134456457e-01,9.984351537217963646e-01,1.235149924230937724e-01,9.999577813432946050e-01,2.062578368048421762e+00,-7.257938312375800116e-01,1.806525240404341925e+00,-2.098503063838486060e-02
4.513888888888889332e-03,1.625000000000000222e+00,1.537568526377889877e-01,9.981734709574797693e-01,1.241432339485256386e-01,9.999501665650847304e-01,2.064271550232202213e+00,-7.813958726479227623e-01,1.812146454793267969e+00,-2.287864615665480966e-02
4.861111111111111188e-03,1.750000000000000000e+00,1.544739034247622211e-01,9.978925892398038400e-01,1.247734278105319811e-01,9.999418916516238376e-01,2.065936232798621042e+00,-8.363798025864318531e-01,1.817770687876653080e+00,-2.478732352977370060e-02
5.208333333333333912e-03,1.875000000000000222e+00,1.551915272786655309e-01,9.975927231908076065e-01,1.254055750455860818e-01,9.999329514583610301e-01,2.067572415747678249e+00,-8.907456210531513596e-01,1.823397872290020372e+00,-2.671058403044331703e-02
