motor_time_fraction,motor_angle_deg,source16_aligned_small,source16_aligned_large,power_sigmoid_small,power_sigmoid_large,source16_aligned_dsmall_dt,source16_aligned_dlarge_dt,power_sigmoid_dsmall_dt,power_sigmoid_dlarge_dt
0.000000000000000000e+00,0.000000000000000000e+00,1.444918440414582339e-01,9.999997061094492157e-01,1.323163635946630889e-01,1.000000000000000000e+00,2.040037211688822349e+00,-1.035663951228611192e-02,1.909875950927304444e+00,-0.000000000000000000e+00
3.472222222222222355e-04,1.250000000000000000e-01,1.452005444496017317e-01,9.999851513044708540e-01,1.329805228718810572e-01,9.999997630284759298e-01,2.042072389280946254e+00,-7.337601858436348934e-02,1.915681843100881743e+00,-1.413913119603952325e-03
6.944444444444444709e-04,2.500000000000000000e-01,1.459099465687808961e-01,9.999488220816675765e-01,1.336466984516225809e-01,9.999990033918005894e-01,2.044079067255707649e+00,-1.357772861846056056e-01,1.921489840786671843e+00,-2.975053782375802237e-03
1.041666666666666652e-03,3.750000000000000000e-01,1.466200405032957454e-01,9.998909330630779690e-01,1.343148910517416583e-01,9.999976896586253439e-01,2.046057245613107867e+00,-1.975604423130612464e-01,1.927299867735446037e+00,-4.600753793374221315e-03
1.388888888888888942e-03,5.000000000000000000e-01,1.473308163574455765e-01,9.998116988707406172e-01,1.349851013635502139e-01,9.999958031801338132e-01,2.048006924353146463e+00,-2.587254869697049875e-01,1.933111847313618403e+00,-6.272029394810724190e-03
1.736111111111111232e-03,6.250000000000000000e-01,1.480422642355299356e-01,9.997113341266952169e-01,1.356573300516845937e-01,9.999933298877796695e-01,2.049928103475822994e+00,-3.192724201545384388e-01,1.938925702503949466e+00,-7.979661299961022039e-03
2.083333333333333304e-03,7.500000000000000000e-01,1.487543742418480086e-01,9.995900534529797987e-01,1.363315777539725326e-01,9.999902581842993188e-01,2.051820782981136126e+00,-3.792012418675350105e-01,1.944741355906250524e+00,-9.718147098704161060e-03
2.430555555555555594e-03,8.750000000000000000e-01,1.494671364806999247e-01,9.994480714716333924e-01,1.370078450813003168e-01,9.999865780317455100e-01,2.053684962869088970e+00,-4.385119521087454397e-01,1.950558729738131936e+00,-1.148381995247894569e-02
2.777777777777777884e-03,1.000000000000000000e+00,1.501805410563846477e-01,9.992856028046951389e-01,1.376861326174802502e-01,9.999822804684128652e-01,2.055520643139678860e+00,-4.972045508781202661e-01,1.956377745835759185e+00,-1.327405955367390311e-02
3.125000000000000173e-03,1.125000000000000000e+00,1.508945780732022235e-01,9.991028620742030686e-01,1.383664409191183997e-01,9.999773573205874566e-01,2.057327823792907573e+00,-5.552790381757082283e-01,1.962198325654641140e+00,-1.508690051210420310e-02
3.472222222222222463e-03,1.250000000000000000e+00,1.516092376354516713e-01,9.989000639021969885e-01,1.390487705154822284e-01,9.999718010162462756e-01,2.059106504828773332e+00,-6.127354140014608097e-01,1.968020390270441844e+00,-1.692081518703429655e-02
3.819444444444444753e-03,1.375000000000000000e+00,1.523245098474330650e-01,9.986774229107152623e-01,1.397331219083694231e-01,9.999656044574867231e-01,2.060856686247278358e+00,-6.695736783554265825e-01,1.973843860379816517e+00,-1.877458329995841668e-02
4.166666666666666609e-03,1.500000000000000000e+00,1.530403848134456457e-01,9.984351537217963646e-01,1.404194955719757498e-01,9.999587609292510670e-01,2.062578368048421762e+00,-7.257938312375800116e-01,1.979668656301267982e+00,-2.064720880937265246e-02
4.513888888888889332e-03,1.625000000000000222e+00,1.537568526377889877e-01,9.981734709574797693e-01,1.411078919527645192e-01,9.999512640317222978e-01,2.064271550232202213e+00,-7.813958726479227623e-01,1.985494697976033285e+00,-2.253786436291516093e-02
4.861111111111111188e-03,1.750000000000000000e+00,1.544739034247622211e-01,9.978925892398038400e-01,1.417983114693353031e-01,9.999431076288327613e-01,2.065936232798621042e+00,-8.363798025864318531e-01,1.991321904968991197e+00,-2.444585274170963524e-02
5.208333333333333912e-03,1.875000000000000222e+00,1.551915272786655309e-01,9.975927231908076065e-01,1.424907545122939267e-01,9.999342858081278207e-01,2.067572415747678249e+00,-8.907456210531513596e-01,1.997150196469597461e+00,-2.637057924791163729e-02
5.555555555555555768e-03,2.000000000000000000e+00,1.559097143037978528e-01,9.972740874325299876e-01,1.431852214441214632e-01,9.999247928488653736e-01,2.069180099079372503e+00,-9.444933280480382054e-01,2.002979491292837810e+00,-2.831153140285761274e-02
5.902777777777777624e-03,2.125000000000000000e+00,1.566284546044592885e-01,9.969368965870094579e-01,1.438817125990455026e-01,9.999146231962401377e-01,2.070759282793706024e+00,-9.976229235711352450e-01,2.008809707880222728e+00,-3.026826368232203232e-02
6.250000000000000347e-03,2.250000000000000000e+00,1.573477382849490791e-01,9.965813652762851582e-01,1.445802282829093122e-01,9.999037714402523314e-01,2.072309966890677035e+00,-1.050134407622421717e+00,2.014640764300777320e+00,-3.224038581535052655e-02
6.597222222222222203e-03,2.375000000000000000e+00,1.580675554495667712e-01,9.962077081223956743e-01,1.452807687730441055e-01,9.998922322981713684e-01,2.073832151370286425e+00,-1.102027780201895624e+00,2.020472578252096252e+00,-3.422755366251864495e-02
6.944444444444444926e-03,2.500000000000000000e+00,1.587878962026115504e-01,9.958161397473801468e-01,1.459833343181388410e-01,9.998800005998166318e-01,2.075325836232533749e+00,-1.153303041309538424e+00,2.026305067061382026e+00,-3.622946199896416586e-02
7.291666666666666782e-03,2.625000000000000000e+00,1.595087506483835460e-01,9.954068747732769395e-01,1.466879251381130733e-01,9.998670712750875600e-01,2.076791021477419008e+00,-1.203960190945390085e+00,2.032138147686544549e+00,-3.824583872901998749e-02
7.638888888888889506e-03,2.750000000000000000e+00,1.602301088911817217e-01,9.949801278221255263e-01,1.473945414239880569e-01,9.998534393433015088e-01,2.078227707104942201e+00,-1.253999229109410640e+00,2.037971736717301141e+00,-4.027644019381296236e-02
7.986111111111112229e-03,2.875000000000000444e+00,1.609519610353061791e-01,9.945361135159640487e-01,1.481031833377594309e-01,9.998390999040092098e-01,2.079635893115104217e+00,-1.303420155801639835e+00,2.043805750376318731e+00,-4.232104732507763201e-02
8.333333333333333218e-03,3.000000000000000000e+00,1.616742971850558541e-01,9.940750464768318695e-01,1.488138510122699321e-01,9.998240481290265880e-01,2.081015579507902835e+00,-1.352222971022038589e+00,2.049640104520365380e+00,-4.437946246246346482e-02
8.680555555555555941e-03,3.125000000000000000e+00,1.623971074447308482e-01,9.935971413267673524e-01,1.495265445510825242e-01,9.998082792554764398e-01,2.082366766283340720e+00,-1.400407674770645983e+00,2.055474714641508438e+00,-4.645150669704531388e-02
9.027777777777778664e-03,3.250000000000000444e+00,1.631203819186304582e-01,9.931026126878094162e-01,1.502412640283540546e-01,9.997917885796748783e-01,2.083689453441416983e+00,-1.447974267047440922e+00,2.061309495868313135e+00,-4.853701763651184498e-02
9.374999999999999653e-03,3.375000000000000000e+00,1.638441107110541195e-01,9.925916751819972017e-01,1.509580094887091051e-01,9.997745714517354276e-01,2.084983640982130737e+00,-1.494922747852425626e+00,2.067144362967095361e+00,-5.063584751149179108e-02
9.722222222222222376e-03,3.500000000000000000e+00,1.645682839263011288e-01,9.920645434313694055e-01,1.516767809471147033e-01,9.997566232707795209e-01,2.086249328905482869e+00,-1.541253117185579224e+00,2.072979230343175328e+00,-5.274786156027191225e-02
1.006944444444444510e-02,3.625000000000000444e+00,1.652928916686715877e-01,9.915214320579646134e-01,1.523975783887546731e-01,9.997379394806649167e-01,2.087486517211472936e+00,-1.586965375046941462e+00,2.078814012042168535e+00,-5.487293664252867326e-02
1.041666666666666782e-02,3.750000000000000444e+00,1.660179240424643765e-01,9.909625556838218552e-01,1.531204017689057617e-01,9.997185155661658662e-01,2.088695205900100493e+00,-1.632059521436473037e+00,2.084648621751310493e+00,-5.701096004285191587e-02
1.076388888888888881e-02,3.875000000000000000e+00,1.667433711519797357e-01,9.903881289309800495e-01,1.538452510128125450e-01,9.996983470495349744e-01,2.089875394971366429e+00,-1.676535556354212364e+00,2.090482972800790762e+00,-5.916182843263716185e-02
1.111111111111111154e-02,4.000000000000000000e+00,1.674692231015167676e-01,9.897983664214775601e-01,1.545721260155644983e-01,9.996774294874062328e-01,2.091027084425271632e+00,-1.720393479800140124e+00,2.096316978165126965e+00,-6.132544696496967235e-02
1.145833333333333426e-02,4.125000000000000000e+00,1.681954699953750743e-01,9.891934827773537497e-01,1.553010266419720675e-01,9.996557584679905961e-01,2.092150274261813880e+00,-1.763633291774256540e+00,2.102150550464559231e+00,-6.350172848185348107e-02
1.180555555555555525e-02,4.250000000000000000e+00,1.689221019378541744e-01,9.885736926206472042e-01,1.560319527264443229e-01,9.996333296085293529e-01,2.093244964480994064e+00,-1.806254992276561389e+00,2.107983601966470832e+00,-6.569059281687099350e-02
