motor_time_fraction,motor_angle_deg,linear_small,linear_large,candidate_small,candidate_large,linear_dsmall_dt,linear_dlarge_dt,candidate_dsmall_dt,candidate_dlarge_dt,reference_spline_small,reference_spline_large,reference_spline_dsmall_dt,reference_spline_dlarge_dt
0.000000000000000000e+00,0.000000000000000000e+00,1.134914692692586546e-01,1.000000000000000000e+00,1.679741504021792786e-01,9.893793721445750533e-01,1.794127241040785137e+00,-1.822197656825894185e+00,2.091811071223600216e+00,-1.750524135956655236e+00,8.380168329697437746e-02,8.836366992135886722e-01,1.090431021427097580e+00,3.873012797055216172e+00
3.472222222222222355e-04,1.250000000000000000e-01,1.141144301168422470e-01,9.993672924802686763e-01,1.687006660733738339e-01,9.887641010817566078e-01,1.794127241040785137e+00,-1.822197656825894185e+00,2.092914444919945272e+00,-1.793334167298028081e+00,8.418083122894480519e-02,8.849778644865486932e-01,1.093462588936642055e+00,3.852066301747896215e+00
6.944444444444444709e-04,2.500000000000000000e-01,1.147373909644258533e-01,9.987345849605376857e-01,1.694275599125848464e-01,9.881340727357423859e-01,1.794127241040785137e+00,-1.822197656825894185e+00,2.093989318998929150e+00,-1.835526087167572262e+00,8.456103337416245869e-02,8.863117224276875206e-01,1.096503289731924458e+00,3.830922565768169363e+00
1.041666666666666652e-03,3.750000000000000000e-01,1.153603518120094595e-01,9.981018774408063621e-01,1.701548220241116960e-01,9.874895017285700849e-01,1.794127241040785137e+00,-1.822197656825894185e+00,2.095035693460550075e+00,-1.877099895565322196e+00,8.494229290390738207e-02,8.876382045518212971e-01,1.099553123812947009e+00,3.809581797206311293e+00
1.388888888888888942e-03,5.000000000000000000e-01,1.159833126595930658e-01,9.974691699210751494e-01,1.708824425122544566e-01,9.868306026822791788e-01,1.794127241040785137e+00,-1.822197656825894185e+00,2.096053568304809822e+00,-1.918055592491260786e+00,8.532461298945928641e-02,8.889572543317163511e-01,1.102612091179709042e+00,3.788141980614185833e+00
1.736111111111111232e-03,6.250000000000000000e-01,1.166062735071766721e-01,9.968364624013438258e-01,1.716104114813123416e-01,9.861575902189084752e-01,1.794127241040785137e+00,-1.822197656825894185e+00,2.097042943531707948e+00,-1.958393177945372043e+00,8.570799680209759130e-02,8.902688566533765169e-01,1.105680191832208337e+00,3.766684437776789629e+00
2.083333333333333304e-03,7.500000000000000000e-01,1.172292343547602644e-01,9.962037548816128352e-01,1.723387190355845644e-01,9.854706789604967820e-01,1.794127241040785137e+00,-1.822197656825894185e+00,2.098003819141243120e+00,-1.998112651927688166e+00,8.609244751310257682e-02,8.915730053618567963e-01,1.108757425770448446e+00,3.745209168694107138e+00
2.430555555555555594e-03,8.750000000000000000e-01,1.178521952023438846e-01,9.955710473618815115e-01,1.730673552793712544e-01,9.847700835290825738e-01,1.794127241040785137e+00,-1.822197656825894185e+00,2.098936195133417559e+00,-2.037214014438192500e+00,8.647796830820621283e-02,8.928696943022101928e-01,1.111844191726977238e+00,3.723716173366145910e+00
2.777777777777777884e-03,1.000000000000000000e+00,1.184751560499274908e-01,9.949383398421501878e-01,1.737963103169716805e-01,9.840560185467055465e-01,1.794127241040785137e+00,-1.822197656825894185e+00,2.099840071508229045e+00,-2.075697265476869724e+00,8.686456338089836027e-02,8.941589173194898210e-01,1.114946304435267432e+00,3.702205451792915269e+00
3.125000000000000173e-03,1.125000000000000000e+00,1.190981168975110971e-01,9.943056323224189752e-01,1.745255742526850562e-01,9.833286986354036197e-01,1.794127241040785137e+00,-1.822197656825894185e+00,2.100715448265678909e+00,-2.113562405043752701e+00,8.725223857340771993e-02,8.954406682587507937e-01,1.118065681873339212e+00,3.680677003974397454e+00
3.472222222222222463e-03,1.250000000000000000e+00,1.197210777450947033e-01,9.936729248026878736e-01,1.752551371908114830e-01,9.825883384172158230e-01,1.794127241040785137e+00,-1.822197656825894185e+00,2.101562325405766707e+00,-2.150809433138823668e+00,8.764099988043201617e-02,8.967149409650458924e-01,1.121202324041191023e+00,3.659130829910602234e+00
3.819444444444444753e-03,1.375000000000000000e+00,1.203440385926783096e-01,9.930402172829566609e-01,1.759849892356502021e-01,9.818351525141811864e-01,1.794127241040785137e+00,-1.822197656825894185e+00,2.102380702928492884e+00,-2.187438349762068412e+00,8.803085329666887615e-02,8.979817292834286757e-01,1.124356230938821755e+00,3.637566929601536270e+00
4.166666666666666609e-03,1.500000000000000000e+00,1.209669994402619020e-01,9.924075097632253373e-01,1.767151204915004548e-01,9.810693555483384065e-01,1.794127241040785137e+00,-1.822197656825894185e+00,2.103170580833856551e+00,-2.223449154913516690e+00,8.842180481681649606e-02,8.992410270589537014e-01,1.127527402566234072e+00,3.615985303047183574e+00
4.513888888888889332e-03,1.625000000000000222e+00,1.215899602878455221e-01,9.917748022434941246e-01,1.774455210626623702e-01,9.802911621417261800e-01,1.794127241040785137e+00,-1.822197656825894185e+00,2.103931959121859485e+00,-2.258841848593152957e+00,8.881386043557246146e-02,9.004928281366736398e-01,1.130715838923425531e+00,3.594385950247561912e+00
4.861111111111111188e-03,1.750000000000000000e+00,1.222129211354291284e-01,9.911420947237630230e-01,1.781761810534351620e-01,9.795007869163838699e-01,1.794127241040785137e+00,-1.822197656825894185e+00,2.104664837792499466e+00,-2.293616430800964778e+00,8.920702614763478810e-02,9.017371263616432708e-01,1.133921540010398132e+00,3.572768871202651741e+00
5.208333333333333912e-03,1.875000000000000222e+00,1.228358819830127346e-01,9.905093872040316993e-01,1.789070905681180434e-01,9.786984444943496175e-01,1.794127241040785137e+00,-1.822197656825894185e+00,2.105369216845777824e+00,-2.327772901536979244e+00,8.960130794770128360e-02,9.029739155789160421e-01,1.137144505827151431e+00,3.551134065912464610e+00
5.555555555555555768e-03,2.000000000000000000e+00,1.234588428305963409e-01,9.898766796843004867e-01,1.796382397110111717e-01,9.778843494976625639e-01,1.794127241040785137e+00,-1.822197656825894185e+00,2.106045096281694562e+00,-2.361311260801181700e+00,8.999671183046951961e-02,9.042031896335448460e-01,1.140384736373683428e+00,3.529481534377008067e+00
5.902777777777777624e-03,2.125000000000000000e+00,1.240818036781799472e-01,9.892439721645693851e-01,1.803696185864133994e-01,9.770587165483619607e-01,1.794127241040785137e+00,-1.822197656825894185e+00,2.106692476100248790e+00,-2.394231508593560598e+00,9.039324379063774784e-02,9.054249423705844624e-01,1.143642231649997232e+00,3.507811276596263461e+00
6.250000000000000347e-03,2.250000000000000000e+00,1.247047645257635534e-01,9.886112646448381724e-01,1.811012172986249391e-01,9.762217602684857276e-01,1.794127241040785137e+00,-1.822197656825894185e+00,2.107311356301441840e+00,-2.426533644914140808e+00,9.079090982290370648e-02,9.066391676350881168e-01,1.146916991656090845e+00,3.486123292570241006e+00
