index,label,feasible,small_min_deg,small_max_deg,large_max_deg,h_s_low_before,h_s_low_after,h_s_high_before,h_s_high_after,sector_smin_to_lmin_deg,sector_lmin_to_smax_deg,sector_smax_to_lmax_deg,sector_lmax_to_next_smin_deg,indicated_thermal_efficiency,indicated_power_w,heat_input_w,heat_out_w,maximum_tube_reynolds,maximum_tube_mach_number,maximum_absolute_mass_flow_kg_s,cold_isothermality_error,hot_isothermality_error,pressure_equalization_error,small_max_abs_dV_dtheta,large_max_abs_dV_dtheta,small_max_abs_d2V_dtheta2,large_max_abs_d2V_dtheta2,convergence_cycles
0,exact_harmonic,True,70.0,250.0,360.0,0.0,0.0,0.0,0.0,110.0,70.0,110.0,70.0,0.17727195180414687,50.22404962737952,283.3163910942207,-233.00708971942035,738.9251802861045,0.03876894338411841,0.014202801214336466,0.037718621108444136,0.03796313615319196,0.021389102294025592,0.0004158414875149028,0.0004950495049504951,0.0004158414875149029,0.0004950495049504951,24
1,f3_champion_symmetric,True,74.16413925588131,240.73545688018203,362.60264293663204,-0.27155234664678574,-0.27155234664678574,-1.1948004784062505,-1.1948004784062505,105.83586074411869,60.73545688018203,121.86718605645001,71.56149631924927,0.19429013228592631,55.425214147718776,285.2703505608431,-229.8263481682844,586.0223704246102,0.04366108433000253,0.011263872793010443,0.034018829500760024,0.046140705225059385,0.019673120359198205,0.00047994869189053077,0.0005364987998150071,0.0010657799048893557,0.0011186494919476484,22
2,f3_low_split_A,True,74.16413925588131,240.73545688018203,362.60264293663204,0.22844765335321426,-0.7715523466467857,-1.1948004784062505,-1.1948004784062505,105.83586074411869,60.73545688018203,121.86718605645001,71.56149631924927,0.16755146002018367,55.08081662869032,328.7396995648689,-273.64977809909936,607.9073959589272,0.04746567336254498,0.011684522509013124,0.041195579360320325,0.05413695450403131,0.021276488276626503,0.0004491952393574878,0.0005664605442930793,0.0010657799036960492,0.0011186493527415168,22
3,f3_low_split_B,False,74.16413925588131,240.73545688018203,362.60264293663204,-0.7715523466467857,0.22844765335321426,-1.1948004784062505,-1.1948004784062505,105.83586074411869,60.73545688018203,121.86718605645001,71.56149631924927,0.15666496349308004,35.333237791653616,225.533756902923,-190.21418613925414,617.3127259007342,0.040141956466506624,0.011865301341677905,0.024850233310258835,0.06252080196334203,0.0178729028751841,0.0005216217345240429,0.00058308182704009,0.0010657799060826618,0.0011186496311537805,22
4,f3_high_split_A,True,74.16413925588131,240.73545688018203,362.60264293663204,-0.27155234664678574,-0.27155234664678574,-0.8948004784062504,-1.4948004784062505,105.83586074411869,60.73545688018203,121.86718605645001,71.56149631924927,0.18469325722016852,56.54947280067437,306.18049436024114,-249.61709988992993,626.6439460222601,0.04516252752619497,0.012044655717478082,0.03859010617920812,0.04869845853939341,0.01938380463990129,0.0004526488155062346,0.000570815768666151,0.0009201019841056674,0.0012000916806907869,22
5,f3_high_split_B,True,74.16413925588131,240.73545688018203,362.60264293663204,-0.27155234664678574,-0.27155234664678574,-1.4948004784062505,-0.8948004784062504,105.83586074411869,60.73545688018203,121.86718605645001,71.56149631924927,0.19626569310716374,51.64035394481409,263.1145215818118,-211.4352220789537,553.5010881594216,0.0421188548894534,0.010638784733257274,0.02964131014874448,0.05193824239564296,0.019827285492033754,0.0005256323687477209,0.0005875647365686756,0.0012114578256730436,0.001271553916071731,22
6,sobol,False,78.61742126569152,232.32808386720717,355.4861068120226,-0.34709151834249496,0.26787934824824333,-0.8745974533259869,-0.7272348459810019,101.38257873430848,52.32808386720717,123.15802294481546,83.13131445366889,0.14221868838726423,31.403561953904802,220.8117815599051,-189.41487138210505,721.2962397765174,0.041521803038570386,0.013863957249674055,0.02466681870631665,0.06363584964708978,0.019590273667593704,0.0005288897433023015,0.0005245183110607807,0.0010689874926557781,0.0008996190405268647,22
7,sobol,True,69.73707914724946,245.37955193407834,367.1341934846714,0.37720602564513683,-0.5663462858647108,-1.3290705397725104,-1.2365069065243006,110.26292085275054,65.37955193407834,121.75464155059308,62.602885662578046,0.17594755030391643,55.964105052681624,318.0726583349079,-262.0993577444691,547.4548718614976,0.05007094985513907,0.010522571061739075,0.03640468046281059,0.05577732511047548,0.02173407626354217,0.0004885013430918255,0.0005729203423027959,0.001017171939625333,0.0012501327381311065,22
8,sobol,True,72.64843902364373,237.67375276982784,360.3432585019618,-0.8046349752694368,-0.38192182406783104,-1.0157594695687293,-0.417360607534647,107.35156097635627,57.67375276982784,122.66950573213398,72.3051805216819,0.18617998025492472,54.66613158277584,293.61981620110225,-238.91320738898028,601.3946997406537,0.03195223600190389,0.011559342677244929,0.03582828509303499,0.05548223151375916,0.016847254584902008,0.00044925904606878965,0.000491274969874758,0.0009972645712512142,0.0010017175704766577,22
9,sobol,False,75.71774580702186,248.4757702872157,364.165746178478,0.9598217830061913,0.7096259985119104,-0.5703796081244946,-0.927613426744938,104.28225419297814,68.47577028721571,115.68997589126229,71.55199962854385,,-4.870668638666212,183.94938985295798,-188.81750047248445,839.1955010340089,0.06144422448271859,0.01613008623760342,0.02454777138799688,0.10462449127663619,0.026362346553708265,0.0005104343366790428,0.0006178099423109926,0.000740773655934657,0.0009115818832582886,22
10,sobol,False,74.65840703248978,239.83730691671371,369.478391665034,0.5665876232087612,0.8522714395076036,-0.7304505586624146,-0.5927240319550038,105.34159296751022,59.837306916713715,129.64108474832028,65.18001536745578,,-22.444156495761828,153.1003443377116,-175.54118619139328,906.9701906273166,0.05364475574680628,0.01743277623834802,0.024365922564431538,0.1283179661394255,0.022870296181608945,0.0005538866402223465,0.0006387292022656654,0.0008545198471116096,0.0009545396367643847,22
11,sobol,True,71.44609478861094,247.01753974705935,357.82846639398485,-0.6611564960330725,-0.05569233372807503,-1.4755371607840062,-1.062301902472973,108.55390521138906,67.01753974705935,110.81092664692551,73.61762839462608,0.18163336351500037,43.17882350169868,237.7251770605058,-194.61938761991655,520.7649900874585,0.04285969112023929,0.010009567722044999,0.02563713640284439,0.06339052502552346,0.02041805048284037,0.0005105437245771867,0.0005857696351930775,0.0010820166895469856,0.001196467491598276,28
12,sobol,True,68.7324546650052,236.1785889659077,364.6322263311595,0.01632031239569187,-0.9979312028735876,-1.1716366030275822,-0.8829974200576544,111.2675453349948,56.17858896590769,128.45363736525178,64.10022833384573,0.14783982039477878,52.668859289958384,356.2562450990266,-303.57653178197194,595.5581778587695,0.04154338650146179,0.011447159519486749,0.04265343092031916,0.05032927097869113,0.019407807648271082,0.0004252343028971318,0.0004969891160501083,0.0010435414684045214,0.0011326114628163852,22
13,sobol,True,77.38373157382011,241.10937097854912,360.81522416323423,-0.23596184328198433,0.1683315671980381,-0.41687026619911194,-1.3532607916742563,102.61626842617989,61.10937097854912,119.70585318468511,76.56850741058588,0.17621506661655606,46.834972269562904,265.7830182675344,-218.986444804935,766.2279640906529,0.046843464080505104,0.014727585077871693,0.03485991800592013,0.049409364024229775,0.020437977048399614,0.0004552873119173022,0.0005553577158527145,0.0008230283794670623,0.0011544989146089737,32
14,sobol,True,78.29707479476929,236.84358014538884,365.32107810955495,-0.5716776195913553,-0.7076478209346533,-0.47318103499710573,-0.4595397971570492,101.70292520523071,56.84358014538884,128.4774979641661,72.97599668521434,0.16492411502108328,55.24035151129762,334.9440529314703,-279.67717972459667,694.8355597707168,0.04169699544546496,0.013355359372453197,0.04720920291099948,0.046830376934000086,0.017178667336322333,0.00041448374866582096,0.00044786221103287557,0.0009152881097608002,0.000897653235818954,22
15,sobol,False,69.31913790851831,249.8596818111837,362.0005142176524,0.6643539220094681,0.3800013102591038,-0.9277891214936972,-1.1948086470365524,110.68086209148169,69.85968181118369,112.14083240646869,67.31862369086593,0.13406711611310637,30.445219418976706,227.0893885215779,-196.65000958996308,660.4023099371756,0.05946037436882004,0.012693521590230083,0.025772944583356456,0.06406232439003196,0.02565704700849839,0.0005234420954501717,0.000614445146707454,0.0009181990838848068,0.001062781779548318,22
16,sobol,False,72.21877867728472,233.19364240579307,368.32267011515796,-0.029281944036483765,0.5644295830279589,-1.2320676561444999,-0.7506737809628249,107.78122132271528,53.19364240579307,135.1290277093649,63.896108562126756,0.057549621828759556,10.98737853328894,190.92008225496562,-179.93181124239217,706.2514447072505,0.044727656228983545,0.01357478286587989,0.023130931659549353,0.08935220933756745,0.019166459081046645,0.0005775052337012566,0.0006446467083896352,0.001160550474726645,0.0012147164350398189,22
17,sobol,True,75.3856809437275,243.96029325388372,357.11016055196524,0.24690883420407772,-0.26589735224843025,-0.7865298349410296,-1.484943561628461,104.6143190562725,63.96029325388372,113.14986729808152,78.27552039176226,0.18426945166600245,54.475408381921255,295.6290795321877,-241.14047571529292,651.2591339142023,0.05352358362410987,0.012517781589771989,0.03818098376580401,0.051216928326446386,0.02343263316294683,0.0004898952715868482,0.0006303477282387143,0.0009136718406305451,0.001270641934487289,22
18,sobol,True,76.5842154584825,235.32189680449665,359.6562878182158,0.35755022056400776,-0.17025208100676537,-0.32667889706790443,-0.6345538984984159,103.4157845415175,55.321896804496646,124.33439101371914,76.92792764026672,0.18062342249954433,54.38127008903543,301.0754050415174,-246.6700107090853,737.9560315529591,0.04599684338133602,0.014184173311036892,0.04121365035656026,0.03782370788324264,0.02210259120334589,0.00041959532598160215,0.0005297804184169978,0.0007093789851538971,0.0008122842493453176,22
19,sobol,False,73.28199869766831,242.53735870681703,362.97868952620775,-0.38967936858534813,0.9999093804508448,-1.071923467889428,-1.3298287231475114,106.71800130233169,62.53735870681703,120.44133081939071,70.30330917146057,,-90.57961965484982,78.61093227008463,-169.2079012709553,893.5757275502007,0.05172330540385579,0.017175322707824958,0.04168199824488207,0.18475628413423528,0.020039949865867008,0.000579945463425111,0.0006601231156312167,0.0009744539788866961,0.0011161297308569173,22
20,sobol,False,70.55663946643472,240.65878495946527,356.64370951242745,0.807344127446413,0.05767432972788811,-1.3855895552784205,-0.3255402557551861,109.44336053356528,60.658784959465265,115.98492455296218,73.91292995400727,0.1599347671025604,36.869319505311466,230.52723415458814,-193.66767500583475,540.1902962202224,0.05313831956236934,0.01038293943665412,0.02226162646717763,0.0606769808139215,0.02576758593346011,0.0005224519187944608,0.0006057231021939151,0.0011108335863948412,0.0011381451738302348,22
