family_rank,tolerance,mechanical_samples,mechanical_valid,mechanical_valid_fraction,thermo_selected,thermo_converged,thermo_feasible,eta_nominal,eta_median,eta_p05,eta_min,eta_loss_pp_median,eta_loss_pp_p95,power_nominal_W,power_median_W,power_p05_W
1,0.001,2048,1030,0.5029296875,129,129,129,0.23255335337157246,0.23240203299048678,0.23219553648510738,0.23197075820480778,0.015132038108567336,0.035781688646507326,41.4337050897658,41.53871371973183,41.27332111349513
1,0.005,2048,754,0.3681640625,128,128,128,0.23255335337157246,0.2316238948826666,0.23025564464844758,0.22823482518837013,0.09294584889058544,0.22977087231248716,41.4337050897658,41.70247199359788,40.512422889540744
1,0.01,2048,356,0.173828125,128,128,128,0.23255335337157246,0.23007456596475923,0.2235232982793452,0.22112117364054065,0.2478787406813232,0.903005509222727,41.4337050897658,41.00492096531288,38.386124233398284
4,0.001,2048,505,0.24658203125,128,128,128,0.22449875654619056,0.22398124770990827,0.22360133878764266,0.22312128488812324,0.05175088362822933,0.08974177585478968,42.69471937684293,42.4649249682048,42.16336727367718
4,0.005,2048,190,0.0927734375,128,128,128,0.22449875654619056,0.22244303159670586,0.21969368375113627,0.21649349240814697,0.2055724949484694,0.48050727950542876,42.69471937684293,41.64378854576546,39.85520665218395
4,0.01,2048,77,0.03759765625,77,77,77,0.22449875654619056,0.2210415710908522,0.2149714764468048,0.21074736751273174,0.3457185455338352,0.9527280099385743,42.69471937684293,41.64856480379878,38.71209521759385
12,0.001,2048,533,0.26025390625,128,128,128,0.21656661825401932,0.21641105031709468,0.21626988531264602,0.21624901097000265,0.015556793692464432,0.02967329413733094,45.346956072664426,45.338440790765674,45.2151868017862
12,0.005,2048,402,0.1962890625,128,128,128,0.21656661825401932,0.21608221700863256,0.21543485578648774,0.21528520147756147,0.04844012453867619,0.11317624675315649,45.346956072664426,45.22256452805638,44.52623289061659
12,0.01,2048,259,0.12646484375,128,128,128,0.21656661825401932,0.21578924929500343,0.21463571746416457,0.2140892535033579,0.07773689590159089,0.1930900789854764,45.346956072664426,44.851986839362695,43.741617358345216
50,0.001,2048,1424,0.6953125,128,128,128,0.2265158313634313,0.22618520472140974,0.2255856314471673,0.2253061817959487,0.033062664202156145,0.09301999162640036,44.20379286704555,44.19142073787786,43.96079831713881
50,0.005,2048,771,0.37646484375,128,128,128,0.2265158313634313,0.2249907671545588,0.22221923963761364,0.2204481763280811,0.15250642088725092,0.4296591725817665,44.20379286704555,44.3025879360367,43.47986435030641
50,0.01,2048,592,0.2890625,128,128,128,0.2265158313634313,0.22163260702752507,0.21423285701177688,0.201717061655029,0.4883224335906225,1.2282974351654432,44.20379286704555,44.2306587966393,42.38818513233818
